Month of Date,Point,flows_bcm
January 2026,Zeebrugge LNG,0.362515253
December 2025,Zeebrugge LNG,1.297177714
November 2025,Zeebrugge LNG,1.418616467
October 2025,Zeebrugge LNG,1.613843059
September 2025,Zeebrugge LNG,0.952270939
August 2025,Zeebrugge LNG,0.581991158
July 2025,Zeebrugge LNG,0.929193225
June 2025,Zeebrugge LNG,1.322507684
May 2025,Zeebrugge LNG,1.297585391
April 2025,Zeebrugge LNG,1.474494968
March 2025,Zeebrugge LNG,1.192932002
February 2025,Zeebrugge LNG,1.223896002
January 2025,Zeebrugge LNG,0.600100344
December 2024,Zeebrugge LNG,0.727546336
November 2024,Zeebrugge LNG,0.548915013
October 2024,Zeebrugge LNG,0.442302371
September 2024,Zeebrugge LNG,0.273069324
August 2024,Zeebrugge LNG,0.174159142
July 2024,Zeebrugge LNG,0.688371751
June 2024,Zeebrugge LNG,0.552940028
May 2024,Zeebrugge LNG,0.704871398
April 2024,Zeebrugge LNG,0.903116341
March 2024,Zeebrugge LNG,1.189279813
February 2024,Zeebrugge LNG,0.734522396
January 2024,Zeebrugge LNG,0.823815618
December 2023,Zeebrugge LNG,0.84575653
November 2023,Zeebrugge LNG,1.148589828
October 2023,Zeebrugge LNG,0.943509001
September 2023,Zeebrugge LNG,0.586769554
August 2023,Zeebrugge LNG,0.742533946
July 2023,Zeebrugge LNG,0.696511637
June 2023,Zeebrugge LNG,0.845077349
May 2023,Zeebrugge LNG,0.988478848
April 2023,Zeebrugge LNG,1.314566769
March 2023,Zeebrugge LNG,1.241373082
February 2023,Zeebrugge LNG,0.961981891
January 2023,Zeebrugge LNG,1.117643766
December 2022,Zeebrugge LNG,1.147478753
November 2022,Zeebrugge LNG,1.148300969
October 2022,Zeebrugge LNG,1.084484448
September 2022,Zeebrugge LNG,0.789756572
August 2022,Zeebrugge LNG,0.948690137
July 2022,Zeebrugge LNG,1.183209979
June 2022,Zeebrugge LNG,1.074429049
May 2022,Zeebrugge LNG,0.818046074
April 2022,Zeebrugge LNG,1.099590458
March 2022,Zeebrugge LNG,0.759793053
February 2022,Zeebrugge LNG,0.673225187
January 2022,Zeebrugge LNG,0.814852227
December 2021,Zeebrugge LNG,0.252445025
November 2021,Zeebrugge LNG,0.421589406
October 2021,Zeebrugge LNG,0.318512195
September 2021,Zeebrugge LNG,0.126136619
August 2021,Zeebrugge LNG,0.31830197
July 2021,Zeebrugge LNG,0.228208259
June 2021,Zeebrugge LNG,0.347600708
May 2021,Zeebrugge LNG,0.624004534
April 2021,Zeebrugge LNG,0.636430449
March 2021,Zeebrugge LNG,0.737930549
February 2021,Zeebrugge LNG,0.108015348
January 2021,Zeebrugge LNG,0.072113146
April 2025,Wilhelmshaven LNG,0.082734823
March 2025,Wilhelmshaven LNG,0.163598129
February 2025,Wilhelmshaven LNG,0.096983197
January 2025,Wilhelmshaven LNG,0.182992111
December 2024,Wilhelmshaven LNG,0.36173118
November 2024,Wilhelmshaven LNG,0.16995639
October 2024,Wilhelmshaven LNG,0.24933304
September 2024,Wilhelmshaven LNG,0.291217979
August 2024,Wilhelmshaven LNG,0.21995085
July 2024,Wilhelmshaven LNG,0.245340473
June 2024,Wilhelmshaven LNG,0.359695043
May 2024,Wilhelmshaven LNG,0.395950233
April 2024,Wilhelmshaven LNG,0.310095049
March 2024,Wilhelmshaven LNG,0.295426814
February 2024,Wilhelmshaven LNG,0.292472727
January 2024,Wilhelmshaven LNG,0.378867262
December 2023,Wilhelmshaven LNG,0.399042486
November 2023,Wilhelmshaven LNG,0.359022363
October 2023,Wilhelmshaven LNG,0.396025731
September 2023,Wilhelmshaven LNG,0.3545949
August 2023,Wilhelmshaven LNG,0.386115246
July 2023,Wilhelmshaven LNG,0.322220399
June 2023,Wilhelmshaven LNG,0.361709663
May 2023,Wilhelmshaven LNG,0.369023895
April 2023,Wilhelmshaven LNG,0.39956749
March 2023,Wilhelmshaven LNG,0.291059924
February 2023,Wilhelmshaven LNG,0.346783837
January 2023,Wilhelmshaven LNG,0.305555786
December 2022,Wilhelmshaven LNG,0.087234785
January 2026,Swinoujscie,0.172419401
December 2025,Swinoujscie,0.772035258
November 2025,Swinoujscie,0.727799665
October 2025,Swinoujscie,0.734556237
September 2025,Swinoujscie,0.714298151
August 2025,Swinoujscie,0.710750041
July 2025,Swinoujscie,0.654761142
June 2025,Swinoujscie,0.713304027
May 2025,Swinoujscie,0.658500258
April 2025,Swinoujscie,0.659132659
March 2025,Swinoujscie,0.739146356
February 2025,Swinoujscie,0.535014181
January 2025,Swinoujscie,0.714685948
December 2024,Swinoujscie,0.634347596
November 2024,Swinoujscie,0.532543337
October 2024,Swinoujscie,0.581224137
September 2024,Swinoujscie,0.555264858
August 2024,Swinoujscie,0.553182378
July 2024,Swinoujscie,0.619323132
June 2024,Swinoujscie,0.56912312
May 2024,Swinoujscie,0.594739684
April 2024,Swinoujscie,0.535983578
March 2024,Swinoujscie,0.473199651
February 2024,Swinoujscie,0.413571195
January 2024,Swinoujscie,0.342264036
December 2023,Swinoujscie,0.564027419
November 2023,Swinoujscie,0.561168026
October 2023,Swinoujscie,0.572816428
September 2023,Swinoujscie,0.5485972
August 2023,Swinoujscie,0.431555221
July 2023,Swinoujscie,0.630854727
June 2023,Swinoujscie,0.541439266
May 2023,Swinoujscie,0.563070834
April 2023,Swinoujscie,0.459902552
March 2023,Swinoujscie,0.443948205
February 2023,Swinoujscie,0.482007248
January 2023,Swinoujscie,0.60163917
December 2022,Swinoujscie,0.632621478
November 2022,Swinoujscie,0.613519514
October 2022,Swinoujscie,0.609411064
September 2022,Swinoujscie,0.423825714
August 2022,Swinoujscie,0.490961265
July 2022,Swinoujscie,0.61408405
June 2022,Swinoujscie,0.603644735
May 2022,Swinoujscie,0.607936497
April 2022,Swinoujscie,0.427258138
March 2022,Swinoujscie,0.510639309
February 2022,Swinoujscie,0.316176045
January 2022,Swinoujscie,0.261333357
December 2021,Swinoujscie,0.452579385
November 2021,Swinoujscie,0.401598575
October 2021,Swinoujscie,0.18894799
September 2021,Swinoujscie,0.187797955
August 2021,Swinoujscie,0.193581293
July 2021,Swinoujscie,0.410849059
June 2021,Swinoujscie,0.399851818
May 2021,Swinoujscie,0.439663727
April 2021,Swinoujscie,0.390293873
March 2021,Swinoujscie,0.409543937
February 2021,Swinoujscie,0.244879486
January 2021,Swinoujscie,0.173961324
January 2026,Sines,0.086273386
December 2025,Sines,0.37841419
November 2025,Sines,0.348507388
October 2025,Sines,0.334179968
September 2025,Sines,0.356760232
August 2025,Sines,0.354853052
July 2025,Sines,0.337550131
June 2025,Sines,0.326441966
May 2025,Sines,0.415423644
April 2025,Sines,0.416902437
March 2025,Sines,0.233827754
February 2025,Sines,0.345235721
January 2025,Sines,0.396428666
December 2024,Sines,0.401669195
November 2024,Sines,0.391719867
October 2024,Sines,0.346420758
September 2024,Sines,0.423467729
August 2024,Sines,0.378716983
July 2024,Sines,0.406417596
June 2024,Sines,0.39687128
May 2024,Sines,0.310801106
April 2024,Sines,0.342590961
March 2024,Sines,0.303722565
February 2024,Sines,0.361466002
January 2024,Sines,0.378581428
December 2023,Sines,0.368794364
November 2023,Sines,0.325512138
October 2023,Sines,0.36485117
September 2023,Sines,0.407068104
August 2023,Sines,0.441099563
July 2023,Sines,0.452904389
June 2023,Sines,0.468124999
May 2023,Sines,0.47817436
April 2023,Sines,0.418249854
March 2023,Sines,0.331355099
February 2023,Sines,0.350937778
January 2023,Sines,0.40396973
December 2022,Sines,0.348751425
November 2022,Sines,0.488021876
October 2022,Sines,0.298898245
September 2022,Sines,0.399594495
August 2022,Sines,0.458031437
July 2022,Sines,0.541152528
June 2022,Sines,0.542795387
May 2022,Sines,0.557729539
April 2022,Sines,0.499402343
March 2022,Sines,0.547088721
February 2022,Sines,0.49162128
January 2022,Sines,0.524299389
December 2021,Sines,0.462207334
November 2021,Sines,0.524004174
October 2021,Sines,0.4939812
September 2021,Sines,0.480847905
August 2021,Sines,0.464108952
July 2021,Sines,0.412948338
June 2021,Sines,0.522002373
May 2021,Sines,0.497014558
April 2021,Sines,0.473089995
March 2021,Sines,0.510197873
February 2021,Sines,0.434198975
January 2021,Sines,0.532501477
January 2026,Sagunto,0.064620355
December 2025,Sagunto,0.302662156
November 2025,Sagunto,0.261234786
October 2025,Sagunto,0.354435562
September 2025,Sagunto,0.28299639
August 2025,Sagunto,0.127870087
July 2025,Sagunto,0.15844636
June 2025,Sagunto,0.263051487
May 2025,Sagunto,0.214896252
April 2025,Sagunto,0.182391939
March 2025,Sagunto,0.284684941
February 2025,Sagunto,0.253200422
January 2025,Sagunto,0.278972233
December 2024,Sagunto,0.256907059
November 2024,Sagunto,0.163768921
October 2024,Sagunto,0.105993547
September 2024,Sagunto,0.263441237
August 2024,Sagunto,0.117030096
July 2024,Sagunto,0.145921263
June 2024,Sagunto,0.101222112
May 2024,Sagunto,0.149388642
April 2024,Sagunto,0.181018197
March 2024,Sagunto,0.170243658
February 2024,Sagunto,0.153952813
January 2024,Sagunto,0.233744521
December 2023,Sagunto,0.199972324
November 2023,Sagunto,0.179137365
October 2023,Sagunto,0.253559422
September 2023,Sagunto,0.400088743
August 2023,Sagunto,0.243765086
July 2023,Sagunto,0.31508293
June 2023,Sagunto,0.411868635
May 2023,Sagunto,0.317474615
April 2023,Sagunto,0.300680596
March 2023,Sagunto,0.459415301
February 2023,Sagunto,0.180757604
January 2023,Sagunto,0.216193688
December 2022,Sagunto,0.264532763
November 2022,Sagunto,0.36778846
October 2022,Sagunto,0.299292938
September 2022,Sagunto,0.340461021
August 2022,Sagunto,0.45789975
July 2022,Sagunto,0.491141284
June 2022,Sagunto,0.246735457
May 2022,Sagunto,0.343402266
April 2022,Sagunto,0.388032604
March 2022,Sagunto,0.489517681
February 2022,Sagunto,0.337128768
January 2022,Sagunto,0.449701765
December 2021,Sagunto,0.290480475
November 2021,Sagunto,0.214148647
October 2021,Sagunto,0.346520347
September 2021,Sagunto,0.101411915
August 2021,Sagunto,0.121027117
July 2021,Sagunto,0.168658273
June 2021,Sagunto,0.171894024
May 2021,Sagunto,0.144919355
April 2021,Sagunto,0.160163321
March 2021,Sagunto,0.095681556
February 2021,Sagunto,0.092824325
January 2021,Sagunto,0.163189191
December 2025,Revithoussa,0.318459739
November 2025,Revithoussa,0.242883836
October 2025,Revithoussa,0.220094599
September 2025,Revithoussa,0.154975552
August 2025,Revithoussa,0.261978738
July 2025,Revithoussa,0.261119666
June 2025,Revithoussa,0.261994228
May 2025,Revithoussa,0.094872303
April 2025,Revithoussa,0.089821573
March 2025,Revithoussa,0.280422734
February 2025,Revithoussa,0.344566221
January 2025,Revithoussa,0.322304976
December 2024,Revithoussa,0.265226694
November 2024,Revithoussa,0.21196953
October 2024,Revithoussa,0.12495824
September 2024,Revithoussa,0.056966993
August 2024,Revithoussa,0.095711133
July 2024,Revithoussa,0.11512751
June 2024,Revithoussa,0.12820816
May 2024,Revithoussa,0.070765628
April 2024,Revithoussa,0.067842984
March 2024,Revithoussa,0.161373266
February 2024,Revithoussa,0.150176788
January 2024,Revithoussa,0.297929513
December 2023,Revithoussa,0.197730096
November 2023,Revithoussa,0.133466297
October 2023,Revithoussa,0.082302756
September 2023,Revithoussa,0.147650446
August 2023,Revithoussa,0.22926831
July 2023,Revithoussa,0.23862804
June 2023,Revithoussa,0.2584777
May 2023,Revithoussa,0.297337822
April 2023,Revithoussa,0.246024014
March 2023,Revithoussa,0.281750283
February 2023,Revithoussa,0.323275923
January 2023,Revithoussa,0.373020575
December 2022,Revithoussa,0.374823843
November 2022,Revithoussa,0.352718981
October 2022,Revithoussa,0.244469704
September 2022,Revithoussa,0.294923546
August 2022,Revithoussa,0.356585009
July 2022,Revithoussa,0.352837255
June 2022,Revithoussa,0.365991376
May 2022,Revithoussa,0.315614752
April 2022,Revithoussa,0.089851545
March 2022,Revithoussa,0.302485556
February 2022,Revithoussa,0.217048858
January 2022,Revithoussa,0.359014365
December 2021,Revithoussa,0.276980045
