Month of Date,Target Country,Point,flows_bcm
January 2021,Belgium,Zeebrugge LNG,0.072113146
February 2021,Belgium,Zeebrugge LNG,0.108015348
March 2021,Belgium,Zeebrugge LNG,0.737930549
April 2021,Belgium,Zeebrugge LNG,0.636430449
May 2021,Belgium,Zeebrugge LNG,0.624004534
June 2021,Belgium,Zeebrugge LNG,0.347600708
July 2021,Belgium,Zeebrugge LNG,0.228208259
August 2021,Belgium,Zeebrugge LNG,0.31830197
September 2021,Belgium,Zeebrugge LNG,0.126136619
October 2021,Belgium,Zeebrugge LNG,0.318512195
November 2021,Belgium,Zeebrugge LNG,0.421589406
December 2021,Belgium,Zeebrugge LNG,0.252445025
January 2022,Belgium,Zeebrugge LNG,0.814852227
February 2022,Belgium,Zeebrugge LNG,0.673225187
March 2022,Belgium,Zeebrugge LNG,0.759793053
April 2022,Belgium,Zeebrugge LNG,1.099590458
May 2022,Belgium,Zeebrugge LNG,0.818046074
June 2022,Belgium,Zeebrugge LNG,1.074429049
July 2022,Belgium,Zeebrugge LNG,1.183209979
August 2022,Belgium,Zeebrugge LNG,0.948690137
September 2022,Belgium,Zeebrugge LNG,0.789756572
October 2022,Belgium,Zeebrugge LNG,1.084484448
November 2022,Belgium,Zeebrugge LNG,1.148300969
December 2022,Belgium,Zeebrugge LNG,1.147478753
January 2023,Belgium,Zeebrugge LNG,1.117643766
February 2023,Belgium,Zeebrugge LNG,0.961981891
March 2023,Belgium,Zeebrugge LNG,1.241373082
April 2023,Belgium,Zeebrugge LNG,1.314566769
May 2023,Belgium,Zeebrugge LNG,0.988478848
June 2023,Belgium,Zeebrugge LNG,0.845077349
July 2023,Belgium,Zeebrugge LNG,0.696511637
August 2023,Belgium,Zeebrugge LNG,0.742533946
September 2023,Belgium,Zeebrugge LNG,0.586769554
October 2023,Belgium,Zeebrugge LNG,0.943509001
November 2023,Belgium,Zeebrugge LNG,1.148589828
December 2023,Belgium,Zeebrugge LNG,0.84575653
January 2024,Belgium,Zeebrugge LNG,0.823815618
February 2024,Belgium,Zeebrugge LNG,0.734522396
March 2024,Belgium,Zeebrugge LNG,1.189279813
April 2024,Belgium,Zeebrugge LNG,0.903116341
May 2024,Belgium,Zeebrugge LNG,0.704871398
June 2024,Belgium,Zeebrugge LNG,0.552940028
July 2024,Belgium,Zeebrugge LNG,0.688371751
August 2024,Belgium,Zeebrugge LNG,0.174159142
September 2024,Belgium,Zeebrugge LNG,0.273069324
October 2024,Belgium,Zeebrugge LNG,0.442302371
November 2024,Belgium,Zeebrugge LNG,0.548915013
December 2024,Belgium,Zeebrugge LNG,0.727546336
January 2025,Belgium,Zeebrugge LNG,0.600100344
February 2025,Belgium,Zeebrugge LNG,1.223896002
March 2025,Belgium,Zeebrugge LNG,1.192932002
April 2025,Belgium,Zeebrugge LNG,1.474494968
May 2025,Belgium,Zeebrugge LNG,1.297585391
June 2025,Belgium,Zeebrugge LNG,1.322507684
July 2025,Belgium,Zeebrugge LNG,0.929193225
August 2025,Belgium,Zeebrugge LNG,0.581991158
September 2025,Belgium,Zeebrugge LNG,0.952270939
October 2025,Belgium,Zeebrugge LNG,1.613843059
November 2025,Belgium,Zeebrugge LNG,1.418616467
December 2025,Belgium,Zeebrugge LNG,1.297177714
January 2026,Belgium,Zeebrugge LNG,0.362515253
October 2021,Croatia,Croatia LNG,0.073788515
November 2021,Croatia,Croatia LNG,0.177052788
December 2021,Croatia,Croatia LNG,0.205412248
January 2022,Croatia,Croatia LNG,0.180978133
February 2022,Croatia,Croatia LNG,0.18773557
March 2022,Croatia,Croatia LNG,0.16146576
April 2022,Croatia,Croatia LNG,0.196355123
May 2022,Croatia,Croatia LNG,0.206652325
June 2022,Croatia,Croatia LNG,0.210490257
July 2022,Croatia,Croatia LNG,0.220707905
August 2022,Croatia,Croatia LNG,0.234845255
September 2022,Croatia,Croatia LNG,0.218853776
October 2022,Croatia,Croatia LNG,0.240599652
November 2022,Croatia,Croatia LNG,0.228465305
December 2022,Croatia,Croatia LNG,0.232710801
January 2023,Croatia,Croatia LNG,0.218971998
February 2023,Croatia,Croatia LNG,0.21690042
March 2023,Croatia,Croatia LNG,0.231896397
April 2023,Croatia,Croatia LNG,0.230423687
May 2023,Croatia,Croatia LNG,0.193856199
June 2023,Croatia,Croatia LNG,0.236739786
July 2023,Croatia,Croatia LNG,0.232730427
August 2023,Croatia,Croatia LNG,0.237709273
September 2023,Croatia,Croatia LNG,0.224284386
October 2023,Croatia,Croatia LNG,0.214013338
November 2023,Croatia,Croatia LNG,0.211607493
December 2023,Croatia,Croatia LNG,0.225551951
January 2024,Croatia,Croatia LNG,0.218765238
February 2024,Croatia,Croatia LNG,0.217887359
March 2024,Croatia,Croatia LNG,0.234002181
April 2024,Croatia,Croatia LNG,0.201440894
May 2024,Croatia,Croatia LNG,0.203261885
June 2024,Croatia,Croatia LNG,0.172024285
July 2024,Croatia,Croatia LNG,0.220127085
August 2024,Croatia,Croatia LNG,0.223765138
September 2024,Croatia,Croatia LNG,0.223007264
October 2024,Croatia,Croatia LNG,0.193643038
November 2024,Croatia,Croatia LNG,0.223573718
December 2024,Croatia,Croatia LNG,0.219978637
January 2025,Croatia,Croatia LNG,0.226028227
February 2025,Croatia,Croatia LNG,0.188558893
March 2025,Croatia,Croatia LNG,0.221482751
April 2025,Croatia,Croatia LNG,0.214642039
May 2025,Croatia,Croatia LNG,0.229565599
June 2025,Croatia,Croatia LNG,0.230139914
July 2025,Croatia,Croatia LNG,0.22519866
August 2025,Croatia,Croatia LNG,0.178369094
