Day of Date,Country,adjusted_unit,adjusted_unit_value
1 January 2019,Vietnam,Billion Cubic Meter,0.882
1 February 2019,Vietnam,Billion Cubic Meter,0.833
1 March 2019,Vietnam,Billion Cubic Meter,0.8134
1 April 2019,Vietnam,Billion Cubic Meter,0.7938
1 May 2019,Vietnam,Billion Cubic Meter,0.7644
1 June 2019,Vietnam,Billion Cubic Meter,0.7448
1 July 2019,Vietnam,Billion Cubic Meter,0.735
1 August 2019,Vietnam,Billion Cubic Meter,0.7546
1 September 2019,Vietnam,Billion Cubic Meter,0.8134
1 October 2019,Vietnam,Billion Cubic Meter,0.8428
1 November 2019,Vietnam,Billion Cubic Meter,0.8918
1 December 2019,Vietnam,Billion Cubic Meter,0.931
1 January 2020,Vietnam,Billion Cubic Meter,0.792
1 February 2020,Vietnam,Billion Cubic Meter,0.748
1 March 2020,Vietnam,Billion Cubic Meter,0.7304
1 April 2020,Vietnam,Billion Cubic Meter,0.7128
1 May 2020,Vietnam,Billion Cubic Meter,0.6864
1 June 2020,Vietnam,Billion Cubic Meter,0.6688
1 July 2020,Vietnam,Billion Cubic Meter,0.66
1 August 2020,Vietnam,Billion Cubic Meter,0.6776
1 September 2020,Vietnam,Billion Cubic Meter,0.7304
1 October 2020,Vietnam,Billion Cubic Meter,0.7568
1 November 2020,Vietnam,Billion Cubic Meter,0.8008
1 December 2020,Vietnam,Billion Cubic Meter,0.836
1 January 2021,Vietnam,Billion Cubic Meter,0.648
1 February 2021,Vietnam,Billion Cubic Meter,0.612
1 March 2021,Vietnam,Billion Cubic Meter,0.5976
1 April 2021,Vietnam,Billion Cubic Meter,0.5832
1 May 2021,Vietnam,Billion Cubic Meter,0.5616
1 June 2021,Vietnam,Billion Cubic Meter,0.5472
1 July 2021,Vietnam,Billion Cubic Meter,0.54
1 August 2021,Vietnam,Billion Cubic Meter,0.5544
1 September 2021,Vietnam,Billion Cubic Meter,0.5976
1 October 2021,Vietnam,Billion Cubic Meter,0.6192
1 November 2021,Vietnam,Billion Cubic Meter,0.6552
1 December 2021,Vietnam,Billion Cubic Meter,0.684
1 January 2022,Vietnam,Billion Cubic Meter,0.702
1 February 2022,Vietnam,Billion Cubic Meter,0.663
1 March 2022,Vietnam,Billion Cubic Meter,0.6474
1 April 2022,Vietnam,Billion Cubic Meter,0.6318
1 May 2022,Vietnam,Billion Cubic Meter,0.6084
1 June 2022,Vietnam,Billion Cubic Meter,0.5928
1 July 2022,Vietnam,Billion Cubic Meter,0.585
1 August 2022,Vietnam,Billion Cubic Meter,0.6006
1 September 2022,Vietnam,Billion Cubic Meter,0.6474
1 October 2022,Vietnam,Billion Cubic Meter,0.6708
1 November 2022,Vietnam,Billion Cubic Meter,0.7098
1 December 2022,Vietnam,Billion Cubic Meter,0.741
1 January 2023,Vietnam,Billion Cubic Meter,0.648
1 February 2023,Vietnam,Billion Cubic Meter,0.612
1 March 2023,Vietnam,Billion Cubic Meter,0.5976
1 April 2023,Vietnam,Billion Cubic Meter,0.5832
1 May 2023,Vietnam,Billion Cubic Meter,0.5616
1 June 2023,Vietnam,Billion Cubic Meter,0.5472
1 July 2023,Vietnam,Billion Cubic Meter,0.54
1 August 2023,Vietnam,Billion Cubic Meter,0.5544
1 September 2023,Vietnam,Billion Cubic Meter,0.5976
1 October 2023,Vietnam,Billion Cubic Meter,0.6192
1 November 2023,Vietnam,Billion Cubic Meter,0.6552
1 December 2023,Vietnam,Billion Cubic Meter,0.684
1 January 2024,Vietnam,Billion Cubic Meter,0.6228
1 February 2024,Vietnam,Billion Cubic Meter,0.5882
1 March 2024,Vietnam,Billion Cubic Meter,0.57436
1 April 2024,Vietnam,Billion Cubic Meter,0.56052
1 May 2024,Vietnam,Billion Cubic Meter,0.53976
1 June 2024,Vietnam,Billion Cubic Meter,0.52592
1 July 2024,Vietnam,Billion Cubic Meter,0.519
1 August 2024,Vietnam,Billion Cubic Meter,0.53284
1 September 2024,Vietnam,Billion Cubic Meter,0.57436
1 October 2024,Vietnam,Billion Cubic Meter,0.59512
1 November 2024,Vietnam,Billion Cubic Meter,0.62972
1 December 2024,Vietnam,Billion Cubic Meter,0.6574
1 January 2025,Vietnam,Billion Cubic Meter,0.567
1 February 2025,Vietnam,Billion Cubic Meter,0.5355
1 March 2025,Vietnam,Billion Cubic Meter,0.5229
1 April 2025,Vietnam,Billion Cubic Meter,0.5103
1 May 2025,Vietnam,Billion Cubic Meter,0.4914
1 June 2025,Vietnam,Billion Cubic Meter,0.4788
1 July 2025,Vietnam,Billion Cubic Meter,0.4725
1 August 2025,Vietnam,Billion Cubic Meter,0.4851
1 September 2025,Vietnam,Billion Cubic Meter,0.5229
1 January 2019,Thailand,Billion Cubic Meter,3.86506
1 February 2019,Thailand,Billion Cubic Meter,3.79944
1 March 2019,Thailand,Billion Cubic Meter,4.33732
1 April 2019,Thailand,Billion Cubic Meter,4.23393
1 May 2019,Thailand,Billion Cubic Meter,4.4014
1 June 2019,Thailand,Billion Cubic Meter,4.18636
1 July 2019,Thailand,Billion Cubic Meter,4.20916
1 August 2019,Thailand,Billion Cubic Meter,4.0371
1 September 2019,Thailand,Billion Cubic Meter,3.96209
1 October 2019,Thailand,Billion Cubic Meter,4.19423
1 November 2019,Thailand,Billion Cubic Meter,4.18212
1 December 2019,Thailand,Billion Cubic Meter,3.80799
1 January 2020,Thailand,Billion Cubic Meter,3.88085
1 February 2020,Thailand,Billion Cubic Meter,3.73312
1 March 2020,Thailand,Billion Cubic Meter,4.23198
1 April 2020,Thailand,Billion Cubic Meter,3.60955
1 May 2020,Thailand,Billion Cubic Meter,3.67281
1 June 2020,Thailand,Billion Cubic Meter,3.6775
1 July 2020,Thailand,Billion Cubic Meter,3.98443
