Country,Year of Date,adjusted_unit,Latitude (generated),Longitude (generated),adjusted_unit_value
Vietnam,2025,Billion Cubic Meter,21.75,105.373,4.5864
Thailand,2025,Billion Cubic Meter,15.688,100.845,34.631400077
Taiwan,2025,Billion Cubic Meter,23.6091,120.8353,23.032621947
South Korea,2025,Billion Cubic Meter,36.338,128.16,46.995657079
Singapore,2025,Billion Cubic Meter,1.3389,103.8297,10.74634343
Philippines,2025,Billion Cubic Meter,17.181,121.256,5.000856637
Pakistan,2025,Billion Cubic Meter,28.1854,66.6429,26.610848031
New Zealand,2025,Billion Cubic Meter,-42.558,172.377,1.923860283
Malaysia,2025,Billion Cubic Meter,4.416,102.099,30.773105115
Japan,2025,Billion Cubic Meter,35.962,137.855,68.443122059
Indonesia,2025,Billion Cubic Meter,-0.739,114.045,30.648311064
India,2025,Billion Cubic Meter,22.741,78.236,53.925379885
China,2025,Billion Cubic Meter,35.1753,99.3877,319.970614637
Bangladesh,2025,Billion Cubic Meter,24.598,90.1963,19.474624157
Australia,2025,Billion Cubic Meter,-24.578,133.582,25.088128155
