Country,Year of Date,Month of Date,adjusted_unit,adjusted_unit_value
Vietnam,2025,January,Billion Cubic Meter,0.567
Thailand,2025,January,Billion Cubic Meter,3.64823
Taiwan,2025,January,Billion Cubic Meter,2.331
South Korea,2025,January,Billion Cubic Meter,7.44135288
Singapore,2025,January,Billion Cubic Meter,1.147689783
Philippines,2025,January,Billion Cubic Meter,0.426856637
Pakistan,2025,January,Billion Cubic Meter,2.81
New Zealand,2025,January,Billion Cubic Meter,0.21725656
Malaysia,2025,January,Billion Cubic Meter,3.982402726
Japan,2025,January,Billion Cubic Meter,9.47566752
Indonesia,2025,January,Billion Cubic Meter,3.514897258
India,2025,January,Billion Cubic Meter,6.101828526
China,2025,January,Billion Cubic Meter,36.423139259
Bangladesh,2025,January,Billion Cubic Meter,2.23
Australia,2025,January,Billion Cubic Meter,2.543082016
Vietnam,2025,February,Billion Cubic Meter,0.5355
Thailand,2025,February,Billion Cubic Meter,3.60122
Taiwan,2025,February,Billion Cubic Meter,2.219
South Korea,2025,February,Billion Cubic Meter,7.091142
Singapore,2025,February,Billion Cubic Meter,1.191119807
Philippines,2025,February,Billion Cubic Meter,0.417
Pakistan,2025,February,Billion Cubic Meter,1.953079419
New Zealand,2025,February,Billion Cubic Meter,0.205060122
Malaysia,2025,February,Billion Cubic Meter,3.264975237
Japan,2025,February,Billion Cubic Meter,8.66333864
Indonesia,2025,February,Billion Cubic Meter,3.139780778
India,2025,February,Billion Cubic Meter,5.788776856
China,2025,February,Billion Cubic Meter,34.659402119
Bangladesh,2025,February,Billion Cubic Meter,1.72
Australia,2025,February,Billion Cubic Meter,2.327729188
Vietnam,2025,March,Billion Cubic Meter,0.5229
Thailand,2025,March,Billion Cubic Meter,4.08011
Taiwan,2025,March,Billion Cubic Meter,2.416
South Korea,2025,March,Billion Cubic Meter,5.79101328
Singapore,2025,March,Billion Cubic Meter,1.079912629
Philippines,2025,March,Billion Cubic Meter,0.511
Pakistan,2025,March,Billion Cubic Meter,2.41630043
New Zealand,2025,March,Billion Cubic Meter,0.225257521
Malaysia,2025,March,Billion Cubic Meter,3.690127978
Japan,2025,March,Billion Cubic Meter,7.878012801
Indonesia,2025,March,Billion Cubic Meter,3.581658232
India,2025,March,Billion Cubic Meter,6.10340902
China,2025,March,Billion Cubic Meter,34.935262169
Bangladesh,2025,March,Billion Cubic Meter,2.292977132
Australia,2025,March,Billion Cubic Meter,2.506049005
Vietnam,2025,April,Billion Cubic Meter,0.5103
Thailand,2025,April,Billion Cubic Meter,4.05469
Taiwan,2025,April,Billion Cubic Meter,2.348
South Korea,2025,April,Billion Cubic Meter,5.06347448
Singapore,2025,April,Billion Cubic Meter,1.21604552
Philippines,2025,April,Billion Cubic Meter,0.509
Pakistan,2025,April,Billion Cubic Meter,3.064883277
New Zealand,2025,April,Billion Cubic Meter,0.221282053
Malaysia,2025,April,Billion Cubic Meter,2.855551743
Japan,2025,April,Billion Cubic Meter,7.17216768
Indonesia,2025,April,Billion Cubic Meter,3.275784305
India,2025,April,Billion Cubic Meter,5.534218517
China,2025,April,Billion Cubic Meter,34.356929747
Bangladesh,2025,April,Billion Cubic Meter,2.190401
Australia,2025,April,Billion Cubic Meter,2.585482894
Vietnam,2025,May,Billion Cubic Meter,0.4914
Thailand,2025,May,Billion Cubic Meter,4.12401
Taiwan,2025,May,Billion Cubic Meter,2.542527929
South Korea,2025,May,Billion Cubic Meter,4.35723192
Singapore,2025,May,Billion Cubic Meter,0.994495517
Philippines,2025,May,Billion Cubic Meter,1.052
Pakistan,2025,May,Billion Cubic Meter,3.763176397
New Zealand,2025,May,Billion Cubic Meter,0.216933091
Malaysia,2025,May,Billion Cubic Meter,3.209990485
Japan,2025,May,Billion Cubic Meter,5.92952552
Indonesia,2025,May,Billion Cubic Meter,3.411015966
India,2025,May,Billion Cubic Meter,6.47172052
China,2025,May,Billion Cubic Meter,35.824232566
Bangladesh,2025,May,Billion Cubic Meter,2.32410018
Australia,2025,May,Billion Cubic Meter,2.699000105
Vietnam,2025,June,Billion Cubic Meter,0.4788
Thailand,2025,June,Billion Cubic Meter,3.81004
Taiwan,2025,June,Billion Cubic Meter,2.69
South Korea,2025,June,Billion Cubic Meter,3.9873568
Singapore,2025,June,Billion Cubic Meter,1.378712749
Philippines,2025,June,Billion Cubic Meter,0.553
Pakistan,2025,June,Billion Cubic Meter,3.542372402
New Zealand,2025,June,Billion Cubic Meter,0.203400258
Malaysia,2025,June,Billion Cubic Meter,3.433279381
Japan,2025,June,Billion Cubic Meter,6.5047604
Indonesia,2025,June,Billion Cubic Meter,3.226801887
India,2025,June,Billion Cubic Meter,5.939923774
China,2025,June,Billion Cubic Meter,35.469001473
Bangladesh,2025,June,Billion Cubic Meter,2.249089892
Australia,2025,June,Billion Cubic Meter,3.168458194
Vietnam,2025,July,Billion Cubic Meter,0.4725
Thailand,2025,July,Billion Cubic Meter,3.83432
Taiwan,2025,July,Billion Cubic Meter,3.201
South Korea,2025,July,Billion Cubic Meter,4.39523712
Singapore,2025,July,Billion Cubic Meter,1.306170644
Philippines,2025,July,Billion Cubic Meter,0.566
Pakistan,2025,July,Billion Cubic Meter,3.442695142
New Zealand,2025,July,Billion Cubic Meter,0.216557794
Malaysia,2025,July,Billion Cubic Meter,3.524960354
Japan,2025,July,Billion Cubic Meter,7.85796088
Indonesia,2025,July,Billion Cubic Meter,3.494544814
India,2025,July,Billion Cubic Meter,6.23197584
China,2025,July,Billion Cubic Meter,36.019261063
Bangladesh,2025,July,Billion Cubic Meter,2.11999141
Australia,2025,July,Billion Cubic Meter,3.23886712
Vietnam,2025,August,Billion Cubic Meter,0.4851
Thailand,2025,August,Billion Cubic Meter,3.874416415
Taiwan,2025,August,Billion Cubic Meter,2.707455029
South Korea,2025,August,Billion Cubic Meter,4.689854857
Singapore,2025,August,Billion Cubic Meter,1.216599726
Philippines,2025,August,Billion Cubic Meter,0.551
Pakistan,2025,August,Billion Cubic Meter,2.938673192
New Zealand,2025,August,Billion Cubic Meter,0.209511733
Malaysia,2025,August,Billion Cubic Meter,3.271931237
Japan,2025,August,Billion Cubic Meter,7.731610781
Indonesia,2025,August,Billion Cubic Meter,3.487577393
India,2025,August,Billion Cubic Meter,5.995466174
China,2025,August,Billion Cubic Meter,36.217769494
Bangladesh,2025,August,Billion Cubic Meter,2.216473945
Australia,2025,August,Billion Cubic Meter,3.221292251
Vietnam,2025,September,Billion Cubic Meter,0.5229
Thailand,2025,September,Billion Cubic Meter,3.604363662
Taiwan,2025,September,Billion Cubic Meter,2.577638989
South Korea,2025,September,Billion Cubic Meter,4.178993742
Singapore,2025,September,Billion Cubic Meter,1.215597055
Philippines,2025,September,Billion Cubic Meter,0.415
Pakistan,2025,September,Billion Cubic Meter,2.679667772
New Zealand,2025,September,Billion Cubic Meter,0.208601151
Malaysia,2025,September,Billion Cubic Meter,3.539885974
Japan,2025,September,Billion Cubic Meter,7.230077837
Indonesia,2025,September,Billion Cubic Meter,3.516250431
India,2025,September,Billion Cubic Meter,5.758060658
China,2025,September,Billion Cubic Meter,36.065616747
Bangladesh,2025,September,Billion Cubic Meter,2.131590598
Australia,2025,September,Billion Cubic Meter,2.798167382
Vietnam,2024,January,Billion Cubic Meter,0.6228
Thailand,2024,January,Billion Cubic Meter,3.71231
Taiwan,2024,January,Billion Cubic Meter,2.365
South Korea,2024,January,Billion Cubic Meter,7.39615056
Singapore,2024,January,Billion Cubic Meter,0.79016
Philippines,2024,January,Billion Cubic Meter,0.307
Pakistan,2024,January,Billion Cubic Meter,2.40534862
New Zealand,2024,January,Billion Cubic Meter,0.291337547
Malaysia,2024,January,Billion Cubic Meter,3.734964222
Japan,2024,January,Billion Cubic Meter,9.815875999
Indonesia,2024,January,Billion Cubic Meter,3.235
India,2024,January,Billion Cubic Meter,5.904906289
China,2024,January,Billion Cubic Meter,33.819881621
Bangladesh,2024,January,Billion Cubic Meter,1.970418629
Australia,2024,January,Billion Cubic Meter,2.438181964
Vietnam,2024,February,Billion Cubic Meter,0.5882
Thailand,2024,February,Billion Cubic Meter,3.70931
Taiwan,2024,February,Billion Cubic Meter,1.953
South Korea,2024,February,Billion Cubic Meter,6.05239168
