Month of Date,Sector,adjusted_unit,Country,adjusted_unit_value
September 2025,Industrial,Billion Cubic Meter,*,35.294337938
August 2025,Industrial,Billion Cubic Meter,*,36.600320182
July 2025,Industrial,Billion Cubic Meter,*,34.880169355
June 2025,Industrial,Billion Cubic Meter,*,34.467358008
May 2025,Industrial,Billion Cubic Meter,*,34.880166391
April 2025,Industrial,Billion Cubic Meter,*,34.501667995
March 2025,Industrial,Billion Cubic Meter,*,36.994114975
February 2025,Industrial,Billion Cubic Meter,*,36.588454405
January 2025,Industrial,Billion Cubic Meter,*,37.920378513
December 2024,Industrial,Billion Cubic Meter,*,36.381199005
November 2024,Industrial,Billion Cubic Meter,*,33.344301734
October 2024,Industrial,Billion Cubic Meter,*,33.765985868
September 2024,Industrial,Billion Cubic Meter,*,32.124599008
August 2024,Industrial,Billion Cubic Meter,*,32.917790636
July 2024,Industrial,Billion Cubic Meter,*,35.472994329
June 2024,Industrial,Billion Cubic Meter,*,33.099577234
May 2024,Industrial,Billion Cubic Meter,*,33.741159557
April 2024,Industrial,Billion Cubic Meter,*,32.839615169
March 2024,Industrial,Billion Cubic Meter,*,35.490330995
February 2024,Industrial,Billion Cubic Meter,*,33.261706661
January 2024,Industrial,Billion Cubic Meter,*,34.747277367
December 2023,Industrial,Billion Cubic Meter,*,33.87174023
November 2023,Industrial,Billion Cubic Meter,*,32.212395109
October 2023,Industrial,Billion Cubic Meter,*,32.292625073
September 2023,Industrial,Billion Cubic Meter,*,31.219516876
August 2023,Industrial,Billion Cubic Meter,*,31.800094602
July 2023,Industrial,Billion Cubic Meter,*,31.402956937
June 2023,Industrial,Billion Cubic Meter,*,31.49311436
May 2023,Industrial,Billion Cubic Meter,*,31.512798071
April 2023,Industrial,Billion Cubic Meter,*,30.668736372
March 2023,Industrial,Billion Cubic Meter,*,32.968101471
February 2023,Industrial,Billion Cubic Meter,*,30.518895305
January 2023,Industrial,Billion Cubic Meter,*,31.780800164
December 2022,Industrial,Billion Cubic Meter,*,32.379169957
November 2022,Industrial,Billion Cubic Meter,*,30.018413797
October 2022,Industrial,Billion Cubic Meter,*,29.937921097
September 2022,Industrial,Billion Cubic Meter,*,29.807150404
August 2022,Industrial,Billion Cubic Meter,*,28.760529988
July 2022,Industrial,Billion Cubic Meter,*,29.777273966
June 2022,Industrial,Billion Cubic Meter,*,30.790093914
May 2022,Industrial,Billion Cubic Meter,*,31.189795164
April 2022,Industrial,Billion Cubic Meter,*,30.679435347
March 2022,Industrial,Billion Cubic Meter,*,32.835154599
February 2022,Industrial,Billion Cubic Meter,*,32.069234394
January 2022,Industrial,Billion Cubic Meter,*,33.629712185
December 2021,Industrial,Billion Cubic Meter,*,32.200540667
November 2021,Industrial,Billion Cubic Meter,*,31.713075891
October 2021,Industrial,Billion Cubic Meter,*,30.859826689
September 2021,Industrial,Billion Cubic Meter,*,29.436340504
August 2021,Industrial,Billion Cubic Meter,*,30.155602212
July 2021,Industrial,Billion Cubic Meter,*,30.593565489
June 2021,Industrial,Billion Cubic Meter,*,30.697042786
May 2021,Industrial,Billion Cubic Meter,*,31.317630533
April 2021,Industrial,Billion Cubic Meter,*,30.772452357
March 2021,Industrial,Billion Cubic Meter,*,32.861896826
February 2021,Industrial,Billion Cubic Meter,*,30.213880753
January 2021,Industrial,Billion Cubic Meter,*,32.648523615
December 2020,Industrial,Billion Cubic Meter,*,30.166037123
November 2020,Industrial,Billion Cubic Meter,*,29.467116881
October 2020,Industrial,Billion Cubic Meter,*,30.125801549
September 2020,Industrial,Billion Cubic Meter,*,28.62060016
August 2020,Industrial,Billion Cubic Meter,*,27.904609474
July 2020,Industrial,Billion Cubic Meter,*,27.875457759
June 2020,Industrial,Billion Cubic Meter,*,28.335972796
May 2020,Industrial,Billion Cubic Meter,*,29.06909865
April 2020,Industrial,Billion Cubic Meter,*,28.683492032
March 2020,Industrial,Billion Cubic Meter,*,30.781173967
February 2020,Industrial,Billion Cubic Meter,*,31.021035778
January 2020,Industrial,Billion Cubic Meter,*,30.839456901
December 2019,Industrial,Billion Cubic Meter,*,30.331155678
November 2019,Industrial,Billion Cubic Meter,*,29.139527805
October 2019,Industrial,Billion Cubic Meter,*,29.239984407
September 2019,Industrial,Billion Cubic Meter,*,29.069910614
August 2019,Industrial,Billion Cubic Meter,*,29.27101282
July 2019,Industrial,Billion Cubic Meter,*,28.393237461
June 2019,Industrial,Billion Cubic Meter,*,29.317701538
May 2019,Industrial,Billion Cubic Meter,*,30.199617167
April 2019,Industrial,Billion Cubic Meter,*,29.727241828
March 2019,Industrial,Billion Cubic Meter,*,30.431669363
February 2019,Industrial,Billion Cubic Meter,*,27.973989977
January 2019,Industrial,Billion Cubic Meter,*,29.017862513
September 2025,Power,Billion Cubic Meter,*,22.741901188
August 2025,Power,Billion Cubic Meter,*,23.287613676
July 2025,Power,Billion Cubic Meter,*,26.245173607
June 2025,Power,Billion Cubic Meter,*,23.444619652
May 2025,Power,Billion Cubic Meter,*,22.975773076
April 2025,Power,Billion Cubic Meter,*,21.873802859
March 2025,Power,Billion Cubic Meter,*,23.496573798
February 2025,Power,Billion Cubic Meter,*,23.043602526
January 2025,Power,Billion Cubic Meter,*,24.135213588
December 2024,Power,Billion Cubic Meter,*,23.876134779
November 2024,Power,Billion Cubic Meter,*,22.142880429
October 2024,Power,Billion Cubic Meter,*,22.637900929
September 2024,Power,Billion Cubic Meter,*,23.962614127
August 2024,Power,Billion Cubic Meter,*,26.541598221
July 2024,Power,Billion Cubic Meter,*,25.938554217
June 2024,Power,Billion Cubic Meter,*,23.642597797
May 2024,Power,Billion Cubic Meter,*,23.012415531
April 2024,Power,Billion Cubic Meter,*,22.376514294
March 2024,Power,Billion Cubic Meter,*,23.921885508
February 2024,Power,Billion Cubic Meter,*,22.537816364
January 2024,Power,Billion Cubic Meter,*,24.034609016
December 2023,Power,Billion Cubic Meter,*,23.249262736
November 2023,Power,Billion Cubic Meter,*,21.687274181
October 2023,Power,Billion Cubic Meter,*,21.709347824
September 2023,Power,Billion Cubic Meter,*,23.394046249
August 2023,Power,Billion Cubic Meter,*,25.280843192
July 2023,Power,Billion Cubic Meter,*,25.364107302
June 2023,Power,Billion Cubic Meter,*,23.131855716
May 2023,Power,Billion Cubic Meter,*,22.362636539
April 2023,Power,Billion Cubic Meter,*,21.38227346
March 2023,Power,Billion Cubic Meter,*,22.356754616
February 2023,Power,Billion Cubic Meter,*,21.374229455
January 2023,Power,Billion Cubic Meter,*,22.373558445
December 2022,Power,Billion Cubic Meter,*,23.27607989
November 2022,Power,Billion Cubic Meter,*,21.244397697
October 2022,Power,Billion Cubic Meter,*,21.00139781
September 2022,Power,Billion Cubic Meter,*,21.954876096
August 2022,Power,Billion Cubic Meter,*,24.207479251
July 2022,Power,Billion Cubic Meter,*,24.756314825
June 2022,Power,Billion Cubic Meter,*,23.491839728
May 2022,Power,Billion Cubic Meter,*,22.250440425
April 2022,Power,Billion Cubic Meter,*,21.265559356
March 2022,Power,Billion Cubic Meter,*,23.413307165
February 2022,Power,Billion Cubic Meter,*,22.170573345
January 2022,Power,Billion Cubic Meter,*,23.676529139
December 2021,Power,Billion Cubic Meter,*,22.916229294
November 2021,Power,Billion Cubic Meter,*,21.71563113
October 2021,Power,Billion Cubic Meter,*,22.007615806
September 2021,Power,Billion Cubic Meter,*,21.74687351
August 2021,Power,Billion Cubic Meter,*,23.948617108
July 2021,Power,Billion Cubic Meter,*,24.743345547
June 2021,Power,Billion Cubic Meter,*,23.188794866
May 2021,Power,Billion Cubic Meter,*,22.518734311
April 2021,Power,Billion Cubic Meter,*,21.930774403
March 2021,Power,Billion Cubic Meter,*,23.775129721
February 2021,Power,Billion Cubic Meter,*,22.106298671
January 2021,Power,Billion Cubic Meter,*,24.893112187
December 2020,Power,Billion Cubic Meter,*,25.515193063
November 2020,Power,Billion Cubic Meter,*,22.189510661
October 2020,Power,Billion Cubic Meter,*,22.567955136
September 2020,Power,Billion Cubic Meter,*,23.690228093
August 2020,Power,Billion Cubic Meter,*,26.015994465
July 2020,Power,Billion Cubic Meter,*,25.250935943
June 2020,Power,Billion Cubic Meter,*,22.383843583
May 2020,Power,Billion Cubic Meter,*,20.406431134
April 2020,Power,Billion Cubic Meter,*,20.373102003
March 2020,Power,Billion Cubic Meter,*,22.62723904
February 2020,Power,Billion Cubic Meter,*,22.363925956
January 2020,Power,Billion Cubic Meter,*,24.823247014
December 2019,Power,Billion Cubic Meter,*,24.469704914
November 2019,Power,Billion Cubic Meter,*,23.02367332
October 2019,Power,Billion Cubic Meter,*,22.649782169
September 2019,Power,Billion Cubic Meter,*,22.878094596
August 2019,Power,Billion Cubic Meter,*,24.902715529
July 2019,Power,Billion Cubic Meter,*,26.153037056
June 2019,Power,Billion Cubic Meter,*,23.50727615
May 2019,Power,Billion Cubic Meter,*,23.192640387
April 2019,Power,Billion Cubic Meter,*,23.042612688
March 2019,Power,Billion Cubic Meter,*,23.459533978
February 2019,Power,Billion Cubic Meter,*,23.608125793
January 2019,Power,Billion Cubic Meter,*,25.095013852
