Month of Date,Sector,adjusted_unit,Country,adjusted_unit_value
September 2025,Industrial,Gigawatt-hour,*,370590.548334
August 2025,Industrial,Gigawatt-hour,*,384310.824791
July 2025,Industrial,Gigawatt-hour,*,366247.963569
June 2025,Industrial,Gigawatt-hour,*,361914.374727
May 2025,Industrial,Gigawatt-hour,*,366245.024972
April 2025,Industrial,Gigawatt-hour,*,362277.000336
March 2025,Industrial,Gigawatt-hour,*,388438.207228
February 2025,Industrial,Gigawatt-hour,*,384153.906379
January 2025,Industrial,Gigawatt-hour,*,398099.372349
December 2024,Industrial,Gigawatt-hour,*,381999.95281
November 2024,Industrial,Gigawatt-hour,*,350115.168203
October 2024,Industrial,Gigawatt-hour,*,354544.671094
September 2024,Industrial,Gigawatt-hour,*,337309.86116
August 2024,Industrial,Gigawatt-hour,*,345641.353315
July 2024,Industrial,Gigawatt-hour,*,372473.37977
June 2024,Industrial,Gigawatt-hour,*,347550.911488
May 2024,Industrial,Gigawatt-hour,*,354290.511204
April 2024,Industrial,Gigawatt-hour,*,344823.105976
March 2024,Industrial,Gigawatt-hour,*,372650.527229
February 2024,Industrial,Gigawatt-hour,*,349252.64034
January 2024,Industrial,Gigawatt-hour,*,364852.102854
December 2023,Industrial,Gigawatt-hour,*,355659.249813
November 2023,Industrial,Gigawatt-hour,*,338227.406652
October 2023,Industrial,Gigawatt-hour,*,339079.981136
September 2023,Industrial,Gigawatt-hour,*,327812.358156
August 2023,Industrial,Gigawatt-hour,*,333904.412172
July 2023,Industrial,Gigawatt-hour,*,329727.680059
June 2023,Industrial,Gigawatt-hour,*,330678.165722
May 2023,Industrial,Gigawatt-hour,*,330883.329399
April 2023,Industrial,Gigawatt-hour,*,322020.971894
March 2023,Industrial,Gigawatt-hour,*,346160.141797
February 2023,Industrial,Gigawatt-hour,*,320455.503927
January 2023,Industrial,Gigawatt-hour,*,333695.398567
December 2022,Industrial,Gigawatt-hour,*,339980.403791
November 2022,Industrial,Gigawatt-hour,*,315191.536326
October 2022,Industrial,Gigawatt-hour,*,314348.363022
September 2022,Industrial,Gigawatt-hour,*,312972.908274
August 2022,Industrial,Gigawatt-hour,*,301984.069813
