Country,Sector,Year of Date,Month of Date,adjusted_unit,adjusted_unit_value
Australia,Power,2024,January,Billion Cubic Meter,0.877745507
Australia,Other,2024,January,Billion Cubic Meter,0.219436377
Australia,Industrial,2024,January,Billion Cubic Meter,0.999654605
Australia,Household,2024,January,Billion Cubic Meter,0.341345475
Australia,Power,2024,February,Billion Cubic Meter,0.829308741
Australia,Other,2024,February,Billion Cubic Meter,0.207327185
Australia,Industrial,2024,February,Billion Cubic Meter,0.944490511
Australia,Household,2024,February,Billion Cubic Meter,0.322508955
Australia,Power,2024,March,Billion Cubic Meter,0.87115401
Australia,Other,2024,March,Billion Cubic Meter,0.217788503
Australia,Industrial,2024,March,Billion Cubic Meter,0.992147623
Australia,Household,2024,March,Billion Cubic Meter,0.338782115
Australia,Power,2024,April,Billion Cubic Meter,0.930975493
Australia,Other,2024,April,Billion Cubic Meter,0.232743873
Australia,Industrial,2024,April,Billion Cubic Meter,1.060277645
Australia,Household,2024,April,Billion Cubic Meter,0.362046025
Australia,Power,2024,May,Billion Cubic Meter,1.05991593
Australia,Other,2024,May,Billion Cubic Meter,0.264978982
Australia,Industrial,2024,May,Billion Cubic Meter,1.207126476
Australia,Household,2024,May,Billion Cubic Meter,0.412189528
Australia,Power,2024,June,Billion Cubic Meter,1.208442167
Australia,Other,2024,June,Billion Cubic Meter,0.302110542
Australia,Industrial,2024,June,Billion Cubic Meter,1.376281356
Australia,Household,2024,June,Billion Cubic Meter,0.469949731
Australia,Power,2024,July,Billion Cubic Meter,1.241950721
Australia,Other,2024,July,Billion Cubic Meter,0.31048768
Australia,Industrial,2024,July,Billion Cubic Meter,1.414443877
Australia,Household,2024,July,Billion Cubic Meter,0.482980836
Australia,Power,2024,August,Billion Cubic Meter,1.107332369
Australia,Other,2024,August,Billion Cubic Meter,0.276833092
Australia,Industrial,2024,August,Billion Cubic Meter,1.261128531
Australia,Household,2024,August,Billion Cubic Meter,0.430629254
Australia,Power,2024,September,Billion Cubic Meter,0.930020749
Australia,Other,2024,September,Billion Cubic Meter,0.232505187
Australia,Industrial,2024,September,Billion Cubic Meter,1.059190297
Australia,Household,2024,September,Billion Cubic Meter,0.361674736
Australia,Power,2024,October,Billion Cubic Meter,0.903302595
Australia,Other,2024,October,Billion Cubic Meter,0.225825649
Australia,Industrial,2024,October,Billion Cubic Meter,1.028761288
Australia,Household,2024,October,Billion Cubic Meter,0.351284342
Australia,Power,2024,November,Billion Cubic Meter,0.91462336
Australia,Other,2024,November,Billion Cubic Meter,0.22865584
Australia,Industrial,2024,November,Billion Cubic Meter,1.041654382
Australia,Household,2024,November,Billion Cubic Meter,0.355686862
Australia,Power,2024,December,Billion Cubic Meter,0.925330769
Australia,Other,2024,December,Billion Cubic Meter,0.231332692
Australia,Industrial,2024,December,Billion Cubic Meter,1.053848931
Australia,Household,2024,December,Billion Cubic Meter,0.359850854
Australia,Power,2023,January,Billion Cubic Meter,0.661157661
Australia,Other,2023,January,Billion Cubic Meter,0.165289415
Australia,Industrial,2023,January,Billion Cubic Meter,0.752985114
Australia,Household,2023,January,Billion Cubic Meter,0.257116868
Australia,Power,2023,February,Billion Cubic Meter,0.644093463
Australia,Other,2023,February,Billion Cubic Meter,0.161023366
Australia,Industrial,2023,February,Billion Cubic Meter,0.733550888
Australia,Household,2023,February,Billion Cubic Meter,0.250480791
Australia,Power,2023,March,Billion Cubic Meter,0.736165678
Australia,Other,2023,March,Billion Cubic Meter,0.184041419
Australia,Industrial,2023,March,Billion Cubic Meter,0.838410911
Australia,Household,2023,March,Billion Cubic Meter,0.286286652
Australia,Power,2023,April,Billion Cubic Meter,0.87550168
Australia,Other,2023,April,Billion Cubic Meter,0.21887542
Australia,Industrial,2023,April,Billion Cubic Meter,0.997099135
Australia,Household,2023,April,Billion Cubic Meter,0.340472875
Australia,Power,2023,May,Billion Cubic Meter,1.029777729
Australia,Other,2023,May,Billion Cubic Meter,0.257444432
Australia,Industrial,2023,May,Billion Cubic Meter,1.172802413
Australia,Household,2023,May,Billion Cubic Meter,0.400469117
Australia,Power,2023,June,Billion Cubic Meter,1.086544857
Australia,Other,2023,June,Billion Cubic Meter,0.271636214
Australia,Industrial,2023,June,Billion Cubic Meter,1.237453864
Australia,Household,2023,June,Billion Cubic Meter,0.422545222
Australia,Power,2023,July,Billion Cubic Meter,1.125058919
Australia,Other,2023,July,Billion Cubic Meter,0.28126473
Australia,Industrial,2023,July,Billion Cubic Meter,1.281317103
Australia,Household,2023,July,Billion Cubic Meter,0.437522913
Australia,Power,2023,August,Billion Cubic Meter,1.059399905
Australia,Other,2023,August,Billion Cubic Meter,0.264849976
Australia,Industrial,2023,August,Billion Cubic Meter,1.20653878
Australia,Household,2023,August,Billion Cubic Meter,0.411988852
Australia,Power,2023,September,Billion Cubic Meter,0.956195783
Australia,Other,2023,September,Billion Cubic Meter,0.239048946
Australia,Industrial,2023,September,Billion Cubic Meter,1.089000753
Australia,Household,2023,September,Billion Cubic Meter,0.371853916
Australia,Power,2023,October,Billion Cubic Meter,0.884491341
Australia,Other,2023,October,Billion Cubic Meter,0.221122835
Australia,Industrial,2023,October,Billion Cubic Meter,1.007337361
Australia,Household,2023,October,Billion Cubic Meter,0.343968855
Australia,Power,2023,November,Billion Cubic Meter,0.880828068
Australia,Other,2023,November,Billion Cubic Meter,0.220207017
Australia,Industrial,2023,November,Billion Cubic Meter,1.0031653
Australia,Household,2023,November,Billion Cubic Meter,0.342544249
Australia,Power,2023,December,Billion Cubic Meter,0.888159345
Australia,Other,2023,December,Billion Cubic Meter,0.222039836
Australia,Industrial,2023,December,Billion Cubic Meter,1.01151481
Australia,Household,2023,December,Billion Cubic Meter,0.345395301
Australia,Power,2022,January,Billion Cubic Meter,0.838952925
Australia,Other,2022,January,Billion Cubic Meter,0.209738231
Australia,Industrial,2022,January,Billion Cubic Meter,0.955474164
Australia,Household,2022,January,Billion Cubic Meter,0.326259471
Australia,Power,2022,February,Billion Cubic Meter,0.76602632
Australia,Other,2022,February,Billion Cubic Meter,0.19150658
Australia,Industrial,2022,February,Billion Cubic Meter,0.872418865
Australia,Household,2022,February,Billion Cubic Meter,0.297899125
Australia,Power,2022,March,Billion Cubic Meter,0.851303281
Australia,Other,2022,March,Billion Cubic Meter,0.21282582
Australia,Industrial,2022,March,Billion Cubic Meter,0.969539847
Australia,Household,2022,March,Billion Cubic Meter,0.331062387
Australia,Power,2022,April,Billion Cubic Meter,0.860147991
Australia,Other,2022,April,Billion Cubic Meter,0.215036998
Australia,Industrial,2022,April,Billion Cubic Meter,0.979612989
Australia,Household,2022,April,Billion Cubic Meter,0.334501996
Australia,Power,2022,May,Billion Cubic Meter,0.921713315
Australia,Other,2022,May,Billion Cubic Meter,0.230428329
Australia,Industrial,2022,May,Billion Cubic Meter,1.049729053
Australia,Household,2022,May,Billion Cubic Meter,0.358444067
Australia,Power,2022,June,Billion Cubic Meter,0.847959013
Australia,Other,2022,June,Billion Cubic Meter,0.211989753
Australia,Industrial,2022,June,Billion Cubic Meter,0.965731098
Australia,Household,2022,June,Billion Cubic Meter,0.329761838
Australia,Power,2022,July,Billion Cubic Meter,0.916336093
Australia,Other,2022,July,Billion Cubic Meter,0.229084023
Australia,Industrial,2022,July,Billion Cubic Meter,1.043604995
Australia,Household,2022,July,Billion Cubic Meter,0.356352925
Australia,Power,2022,August,Billion Cubic Meter,1.070656973
Australia,Other,2022,August,Billion Cubic Meter,0.267664243
Australia,Industrial,2022,August,Billion Cubic Meter,1.21935933
Australia,Household,2022,August,Billion Cubic Meter,0.416366601
Australia,Power,2022,September,Billion Cubic Meter,0.90030748
Australia,Other,2022,September,Billion Cubic Meter,0.22507687
Australia,Industrial,2022,September,Billion Cubic Meter,1.025350185
Australia,Household,2022,September,Billion Cubic Meter,0.350119575
Australia,Power,2022,October,Billion Cubic Meter,0.781199661
Australia,Other,2022,October,Billion Cubic Meter,0.195299915
Australia,Industrial,2022,October,Billion Cubic Meter,0.889699614
Australia,Household,2022,October,Billion Cubic Meter,0.303799868
Australia,Power,2022,November,Billion Cubic Meter,0.710907795
Australia,Other,2022,November,Billion Cubic Meter,0.177726949
Australia,Industrial,2022,November,Billion Cubic Meter,0.809644988
