Country,Sector,Year of Date,Month of Date,adjusted_unit,adjusted_unit_value
Australia,Power,2024,January,Gigawatt-hour,9216.327823
Australia,Other,2024,January,Gigawatt-hour,2304.081958
Australia,Industrial,2024,January,Gigawatt-hour,10496.373352
Australia,Household,2024,January,Gigawatt-hour,3584.127488
Australia,Power,2024,February,Gigawatt-hour,8707.741781
Australia,Other,2024,February,Gigawatt-hour,2176.935442
Australia,Industrial,2024,February,Gigawatt-hour,9917.150365
Australia,Household,2024,February,Gigawatt-hour,3386.344028
Australia,Power,2024,March,Gigawatt-hour,9147.117105
Australia,Other,2024,March,Gigawatt-hour,2286.779281
Australia,Industrial,2024,March,Gigawatt-hour,10417.550041
Australia,Household,2024,March,Gigawatt-hour,3557.212207
Australia,Power,2024,April,Gigawatt-hour,9776.364801
Australia,Other,2024,April,Gigawatt-hour,2443.810667
Australia,Industrial,2024,April,Gigawatt-hour,11134.193248
Australia,Household,2024,April,Gigawatt-hour,3801.483262
Australia,Power,2024,May,Gigawatt-hour,11131.779687
Australia,Other,2024,May,Gigawatt-hour,2782.279311
Australia,Industrial,2024,May,Gigawatt-hour,12677.860199
Australia,Household,2024,May,Gigawatt-hour,4329.025438
Australia,Power,2024,June,Gigawatt-hour,12693.125707
Australia,Other,2024,June,Gigawatt-hour,3173.28143
Australia,Industrial,2024,June,Gigawatt-hour,14456.059832
Australia,Household,2024,June,Gigawatt-hour,4936.215554
Australia,Power,2024,July,Gigawatt-hour,13046.240351
Australia,Other,2024,July,Gigawatt-hour,3261.560085
Australia,Industrial,2024,July,Gigawatt-hour,14858.218168
Australia,Household,2024,July,Gigawatt-hour,5073.537914
Australia,Power,2024,August,Gigawatt-hour,11629.990019
Australia,Other,2024,August,Gigawatt-hour,2906.747466
Australia,Industrial,2024,August,Gigawatt-hour,13245.266412
Australia,Household,2024,August,Gigawatt-hour,4522.773895
Australia,Power,2024,September,Gigawatt-hour,9767.645863
Australia,Other,2024,September,Gigawatt-hour,2441.304464
Australia,Industrial,2024,September,Gigawatt-hour,11124.263346
Australia,Household,2024,September,Gigawatt-hour,3797.584728
Australia,Power,2024,October,Gigawatt-hour,9486.274833
Australia,Other,2024,October,Gigawatt-hour,2371.169314
Australia,Industrial,2024,October,Gigawatt-hour,10803.813006
Australia,Household,2024,October,Gigawatt-hour,3688.485591
Australia,Power,2024,November,Gigawatt-hour,9603.54528
Australia,Other,2024,November,Gigawatt-hour,2400.88632
Australia,Industrial,2024,November,Gigawatt-hour,10937.371011
Australia,Household,2024,November,Gigawatt-hour,3734.712051
Australia,Power,2024,December,Gigawatt-hour,9715.973074
Australia,Other,2024,December,Gigawatt-hour,2428.993266
Australia,Industrial,2024,December,Gigawatt-hour,11065.413775
Australia,Household,2024,December,Gigawatt-hour,3778.433967
Australia,Power,2023,January,Gigawatt-hour,6942.15544
Australia,Other,2023,January,Gigawatt-hour,1735.538857
Australia,Industrial,2023,January,Gigawatt-hour,7906.343697
Australia,Household,2023,January,Gigawatt-hour,2699.727114
Australia,Power,2023,February,Gigawatt-hour,6762.981362
Australia,Other,2023,February,Gigawatt-hour,1690.745343
Australia,Industrial,2023,February,Gigawatt-hour,7702.284324
Australia,Household,2023,February,Gigawatt-hour,2630.048305
Australia,Power,2023,March,Gigawatt-hour,7729.739619
Australia,Other,2023,March,Gigawatt-hour,1932.434899
Australia,Industrial,2023,March,Gigawatt-hour,8803.314566
Australia,Household,2023,March,Gigawatt-hour,3006.009846
Australia,Power,2023,April,Gigawatt-hour,9192.76764
Australia,Other,2023,April,Gigawatt-hour,2298.19191
Australia,Industrial,2023,April,Gigawatt-hour,10469.540918
Australia,Household,2023,April,Gigawatt-hour,3574.965187
Australia,Power,2023,May,Gigawatt-hour,10812.666154
Australia,Other,2023,May,Gigawatt-hour,2703.166536
Australia,Industrial,2023,May,Gigawatt-hour,12314.425336
Australia,Household,2023,May,Gigawatt-hour,4204.925728
Australia,Power,2023,June,Gigawatt-hour,11408.720999
Australia,Other,2023,June,Gigawatt-hour,2852.180247
Australia,Industrial,2023,June,Gigawatt-hour,12993.265572
Australia,Household,2023,June,Gigawatt-hour,4436.724831
Australia,Power,2023,July,Gigawatt-hour,11813.11865
Australia,Other,2023,July,Gigawatt-hour,2953.279665
Australia,Industrial,2023,July,Gigawatt-hour,13453.829582
Australia,Household,2023,July,Gigawatt-hour,4593.990587
Australia,Power,2023,August,Gigawatt-hour,11126.072181
Australia,Other,2023,August,Gigawatt-hour,2780.924748
Australia,Industrial,2023,August,Gigawatt-hour,12671.359984
Australia,Household,2023,August,Gigawatt-hour,4325.882946
Australia,Power,2023,September,Gigawatt-hour,10047.001125
Australia,Other,2023,September,Gigawatt-hour,2511.750287
Australia,Industrial,2023,September,Gigawatt-hour,11442.417945
Australia,Household,2023,September,Gigawatt-hour,3907.167107
Australia,Power,2023,October,Gigawatt-hour,9292.21063
Australia,Other,2023,October,Gigawatt-hour,2323.052655
Australia,Industrial,2023,October,Gigawatt-hour,10582.79544
Australia,Household,2023,October,Gigawatt-hour,3613.637465
Australia,Power,2023,November,Gigawatt-hour,9248.694714
Australia,Other,2023,November,Gigawatt-hour,2312.173679
Australia,Industrial,2023,November,Gigawatt-hour,10533.23565
Australia,Household,2023,November,Gigawatt-hour,3596.714614
Australia,Power,2023,December,Gigawatt-hour,9325.673123
Australia,Other,2023,December,Gigawatt-hour,2331.418278
Australia,Industrial,2023,December,Gigawatt-hour,10620.905505
Australia,Household,2023,December,Gigawatt-hour,3626.650661
Australia,Power,2022,January,Gigawatt-hour,8809.005713
Australia,Other,2022,January,Gigawatt-hour,2202.251426
Australia,Industrial,2022,January,Gigawatt-hour,10032.478722
Australia,Household,2022,January,Gigawatt-hour,3425.724446
Australia,Power,2022,February,Gigawatt-hour,8043.27636
Australia,Other,2022,February,Gigawatt-hour,2010.81909
Australia,Industrial,2022,February,Gigawatt-hour,9160.398082
Australia,Household,2022,February,Gigawatt-hour,3127.940813
Australia,Power,2022,March,Gigawatt-hour,8938.68445
Australia,Other,2022,March,Gigawatt-hour,2234.67111
Australia,Industrial,2022,March,Gigawatt-hour,10180.168394
Australia,Household,2022,March,Gigawatt-hour,3476.155063
Australia,Power,2022,April,Gigawatt-hour,9031.553906
Australia,Other,2022,April,Gigawatt-hour,2257.888479
Australia,Industrial,2022,April,Gigawatt-hour,10285.936384
Australia,Household,2022,April,Gigawatt-hour,3512.270958
Australia,Power,2022,May,Gigawatt-hour,9677.989808
Australia,Other,2022,May,Gigawatt-hour,2419.497455
Australia,Industrial,2022,May,Gigawatt-hour,11022.155056
Australia,Household,2022,May,Gigawatt-hour,3763.662704
Australia,Power,2022,June,Gigawatt-hour,8903.569637
Australia,Other,2022,June,Gigawatt-hour,2225.892407
Australia,Industrial,2022,June,Gigawatt-hour,10140.176529
Australia,Household,2022,June,Gigawatt-hour,3462.499299
Australia,Power,2022,July,Gigawatt-hour,9621.528976
Australia,Other,2022,July,Gigawatt-hour,2405.382241
Australia,Industrial,2022,July,Gigawatt-hour,10957.852447
Australia,Household,2022,July,Gigawatt-hour,3741.705713
Australia,Power,2022,August,Gigawatt-hour,11241.898217
Australia,Other,2022,August,Gigawatt-hour,2810.474551
Australia,Industrial,2022,August,Gigawatt-hour,12803.272965
Australia,Household,2022,August,Gigawatt-hour,4371.84931
Australia,Power,2022,September,Gigawatt-hour,9453.22854
