Year of Date,Quarter of Date,Sector,adjusted_unit,adjusted_unit_value
2019,Q4,Industrial,Gigawatt-hour,931462.017841
2019,Q3,Industrial,Gigawatt-hour,910708.604126
2019,Q2,Industrial,Gigawatt-hour,937067.308118
2019,Q1,Industrial,Gigawatt-hour,917946.97447
2019,Q4,Power,Gigawatt-hour,736503.184215
2019,Q3,Power,Gigawatt-hour,776305.395398
2019,Q2,Power,Gigawatt-hour,732296.556865
2019,Q1,Power,Gigawatt-hour,757708.06303
2019,Q4,Household,Gigawatt-hour,267714.452567
2019,Q3,Household,Gigawatt-hour,209489.965106
2019,Q2,Household,Gigawatt-hour,228576.306113
2019,Q1,Household,Gigawatt-hour,264547.694488
2019,Q4,Other,Gigawatt-hour,201557.002374
2019,Q3,Other,Gigawatt-hour,192534.528208
2019,Q2,Other,Gigawatt-hour,192339.735891
2019,Q1,Other,Gigawatt-hour,195063.394951
2020,Q4,Industrial,Gigawatt-hour,942470.235174
2020,Q3,Industrial,Gigawatt-hour,886205.043418
2020,Q2,Industrial,Gigawatt-hour,903929.62416
2020,Q1,Industrial,Gigawatt-hour,972736.091543
2020,Q4,Power,Gigawatt-hour,737862.918033
2020,Q3,Power,Gigawatt-hour,787050.169252
2020,Q2,Power,Gigawatt-hour,663215.450557
2020,Q1,Power,Gigawatt-hour,733051.316105
2020,Q4,Household,Gigawatt-hour,338580.623984
2020,Q3,Household,Gigawatt-hour,230650.868309
2020,Q2,Household,Gigawatt-hour,263960.637174
2020,Q1,Household,Gigawatt-hour,296097.771306
2020,Q4,Other,Gigawatt-hour,209024.28875
2020,Q3,Other,Gigawatt-hour,182693.437565
2020,Q2,Other,Gigawatt-hour,185343.012459
2020,Q1,Other,Gigawatt-hour,199371.248069
2021,Q4,Industrial,Gigawatt-hour,995118.491065
2021,Q3,Industrial,Gigawatt-hour,946950.354769
2021,Q2,Industrial,Gigawatt-hour,974262.191164
2021,Q1,Industrial,Gigawatt-hour,1005100.67822
2021,Q4,Power,Gigawatt-hour,699714.505397
2021,Q3,Power,Gigawatt-hour,739607.779728
2021,Q2,Power,Gigawatt-hour,710202.192592
2021,Q1,Power,Gigawatt-hour,743132.681088
2021,Q4,Household,Gigawatt-hour,399374.617082
2021,Q3,Household,Gigawatt-hour,314155.745993
2021,Q2,Household,Gigawatt-hour,342677.800081
2021,Q1,Household,Gigawatt-hour,301121.149192
2021,Q4,Other,Gigawatt-hour,226135.50977
2021,Q3,Other,Gigawatt-hour,209206.762084
2021,Q2,Other,Gigawatt-hour,211966.999949
2021,Q1,Other,Gigawatt-hour,210125.73634
2022,Q4,Industrial,Gigawatt-hour,969520.303139
2022,Q3,Industrial,Gigawatt-hour,927620.440509
2022,Q2,Industrial,Gigawatt-hour,972926.93399
2022,Q1,Industrial,Gigawatt-hour,1034609.327253
2022,Q4,Power,Gigawatt-hour,687983.255374
2022,Q3,Power,Gigawatt-hour,744647.228494
2022,Q2,Power,Gigawatt-hour,703582.324839
2022,Q1,Power,Gigawatt-hour,727234.311322
2022,Q4,Household,Gigawatt-hour,366325.885137
2022,Q3,Household,Gigawatt-hour,289982.997028
2022,Q2,Household,Gigawatt-hour,305124.231772
2022,Q1,Household,Gigawatt-hour,333470.086803
2022,Q4,Other,Gigawatt-hour,220639.032572
2022,Q3,Other,Gigawatt-hour,208808.882248
2022,Q2,Other,Gigawatt-hour,210661.718337
2022,Q1,Other,Gigawatt-hour,230402.114664
2023,Q4,Industrial,Gigawatt-hour,1032966.637601
2023,Q3,Industrial,Gigawatt-hour,991444.450387
2023,Q2,Industrial,Gigawatt-hour,983582.467015
2023,Q1,Industrial,Gigawatt-hour,1000311.044291
2023,Q4,Power,Gigawatt-hour,699797.644684
2023,Q3,Power,Gigawatt-hour,777422.881965
2023,Q2,Power,Gigawatt-hour,702209.797828
2023,Q1,Power,Gigawatt-hour,694103.309132
2023,Q4,Household,Gigawatt-hour,365174.351393
2023,Q3,Household,Gigawatt-hour,324789.421613
2023,Q2,Household,Gigawatt-hour,352169.314201
2023,Q1,Household,Gigawatt-hour,286167.29083
2023,Q4,Other,Gigawatt-hour,242164.346417
2023,Q3,Other,Gigawatt-hour,229638.290247
2023,Q2,Other,Gigawatt-hour,226013.018742
2023,Q1,Other,Gigawatt-hour,219869.738103
2024,Q4,Industrial,Gigawatt-hour,1086659.792107
2024,Q3,Industrial,Gigawatt-hour,1055424.594245
2024,Q2,Industrial,Gigawatt-hour,1046664.528668
2024,Q1,Industrial,Gigawatt-hour,1086755.270423
2024,Q4,Power,Gigawatt-hour,720895.105668
2024,Q3,Power,Gigawatt-hour,802646.692518
2024,Q2,Power,Gigawatt-hour,724839.307511
2024,Q1,Power,Gigawatt-hour,740206.196316
2024,Q4,Household,Gigawatt-hour,375179.435565
2024,Q3,Household,Gigawatt-hour,379764.637094
2024,Q2,Household,Gigawatt-hour,373860.149857
2024,Q1,Household,Gigawatt-hour,337682.536241
2024,Q4,Other,Gigawatt-hour,262886.689146
2024,Q3,Other,Gigawatt-hour,261542.278653
2024,Q2,Other,Gigawatt-hour,247997.689729
2024,Q1,Other,Gigawatt-hour,255481.105133
