Year of Date,Quarter of Date,Sector,adjusted_unit,adjusted_unit_value
2019,Q4,Industrial,Billion Cubic Meter,88.71066789
2019,Q3,Industrial,Billion Cubic Meter,86.734160895
2019,Q2,Industrial,Billion Cubic Meter,89.244560533
2019,Q1,Industrial,Billion Cubic Meter,87.423521853
2019,Q4,Power,Billion Cubic Meter,70.143160403
2019,Q3,Power,Billion Cubic Meter,73.933847181
2019,Q2,Power,Billion Cubic Meter,69.742529225
2019,Q1,Power,Billion Cubic Meter,72.162673623
2019,Q4,Household,Billion Cubic Meter,25.496633986
2019,Q3,Household,Billion Cubic Meter,19.951357442
2019,Q2,Household,Billion Cubic Meter,21.76996813
2019,Q1,Household,Billion Cubic Meter,25.195643524
2019,Q4,Other,Billion Cubic Meter,19.195906227
2019,Q3,Other,Billion Cubic Meter,18.3366186
2019,Q2,Other,Billion Cubic Meter,18.318854016
2019,Q1,Other,Billion Cubic Meter,18.578003213
2020,Q4,Industrial,Billion Cubic Meter,89.758955553
2020,Q3,Industrial,Billion Cubic Meter,84.400667393
2020,Q2,Industrial,Billion Cubic Meter,86.088563478
2020,Q1,Industrial,Billion Cubic Meter,92.641666646
2020,Q4,Power,Billion Cubic Meter,70.27265886
2020,Q3,Power,Billion Cubic Meter,74.957158501
2020,Q2,Power,Billion Cubic Meter,63.16337672
2020,Q1,Power,Billion Cubic Meter,69.81441201
2020,Q4,Household,Billion Cubic Meter,32.245805057
2020,Q3,Household,Billion Cubic Meter,21.966774398
2020,Q2,Household,Billion Cubic Meter,25.138628617
2020,Q1,Household,Billion Cubic Meter,28.200035513
2020,Q4,Other,Billion Cubic Meter,19.907079122
2020,Q3,Other,Billion Cubic Meter,17.399376057
2020,Q2,Other,Billion Cubic Meter,17.651204917
2020,Q1,Other,Billion Cubic Meter,18.987739847
2021,Q4,Industrial,Billion Cubic Meter,94.773443247
2021,Q3,Industrial,Billion Cubic Meter,90.185508205
2021,Q2,Industrial,Billion Cubic Meter,92.787125676
2021,Q1,Industrial,Billion Cubic Meter,95.724301194
2021,Q4,Power,Billion Cubic Meter,66.63947623
2021,Q3,Power,Billion Cubic Meter,70.438836165
2021,Q2,Power,Billion Cubic Meter,67.63830358
2021,Q1,Power,Billion Cubic Meter,70.774540579
2021,Q4,Household,Billion Cubic Meter,38.035749754
2021,Q3,Household,Billion Cubic Meter,29.919460566
2021,Q2,Household,Billion Cubic Meter,32.636661143
2021,Q1,Household,Billion Cubic Meter,28.678519821
2021,Q4,Other,Billion Cubic Meter,21.536713311
2021,Q3,Other,Billion Cubic Meter,19.924454186
2021,Q2,Other,Billion Cubic Meter,20.187833385
2021,Q1,Other,Billion Cubic Meter,20.012047404
2022,Q4,Industrial,Billion Cubic Meter,92.335504851
2022,Q3,Industrial,Billion Cubic Meter,88.344954358
2022,Q2,Industrial,Billion Cubic Meter,92.659324425
2022,Q1,Industrial,Billion Cubic Meter,98.534101178
2022,Q4,Power,Billion Cubic Meter,65.521875397
2022,Q3,Power,Billion Cubic Meter,70.918670172
2022,Q2,Power,Billion Cubic Meter,67.007839509
2022,Q1,Power,Billion Cubic Meter,69.260409649
2022,Q4,Household,Billion Cubic Meter,34.888293427
2022,Q3,Household,Billion Cubic Meter,27.617507084
2022,Q2,Household,Billion Cubic Meter,29.059166773
2022,Q1,Household,Billion Cubic Meter,31.759062898
2022,Q4,Other,Billion Cubic Meter,21.013315879
2022,Q3,Other,Billion Cubic Meter,19.886564984
2022,Q2,Other,Billion Cubic Meter,20.062810103
2022,Q1,Other,Billion Cubic Meter,21.94302036
2023,Q4,Industrial,Billion Cubic Meter,98.376760412
2023,Q3,Industrial,Billion Cubic Meter,94.422568415
2023,Q2,Industrial,Billion Cubic Meter,93.674648803
2023,Q1,Industrial,Billion Cubic Meter,95.26779694
2023,Q4,Power,Billion Cubic Meter,66.645884741
2023,Q3,Power,Billion Cubic Meter,74.038996743
2023,Q2,Power,Billion Cubic Meter,66.876765715
2023,Q1,Power,Billion Cubic Meter,66.104542516
2023,Q4,Household,Billion Cubic Meter,34.778932929
2023,Q3,Household,Billion Cubic Meter,30.931778103
2023,Q2,Household,Billion Cubic Meter,33.540083929
2023,Q1,Household,Billion Cubic Meter,27.254059196
2023,Q4,Other,Billion Cubic Meter,23.062743655
2023,Q3,Other,Billion Cubic Meter,21.870005295
2023,Q2,Other,Billion Cubic Meter,21.525134523
2023,Q1,Other,Billion Cubic Meter,20.939869373
2024,Q4,Industrial,Billion Cubic Meter,103.491486607
2024,Q3,Industrial,Billion Cubic Meter,100.515383973
2024,Q2,Industrial,Billion Cubic Meter,99.68035196
2024,Q1,Industrial,Billion Cubic Meter,103.499315023
2024,Q4,Power,Billion Cubic Meter,68.656916137
2024,Q3,Power,Billion Cubic Meter,76.442766565
2024,Q2,Power,Billion Cubic Meter,69.031527622
2024,Q1,Power,Billion Cubic Meter,70.494310888
2024,Q4,Household,Billion Cubic Meter,35.731470003
2024,Q3,Household,Billion Cubic Meter,36.166602656
2024,Q2,Household,Billion Cubic Meter,35.605497717
2024,Q1,Household,Billion Cubic Meter,32.160154017
2024,Q4,Other,Billion Cubic Meter,25.037666369
2024,Q3,Other,Billion Cubic Meter,24.908942003
2024,Q2,Other,Billion Cubic Meter,23.618720956
2024,Q1,Other,Billion Cubic Meter,24.331647488
