Carbon Intensity,Country,Crude list,Year of YearReported (Custom SQL Query1),ProductionDataValue
Very Low,United Kingdom,"Clair, Schiehallion Blend",2006,98
Very Low,Saudi Arabia,"Arab Light, Arab Medium",2006,6550
Very Low,Norway,"Ekofisk Blend, Gullfaks Blend, Heidrun, Statfjord Blend",2006,1138.42
Very Low,Kuwait,Kuwait,2006,2370
Very Low,China,Shengli,2006,535
Very Low,Azerbaijan,Shah Deniz Condensate,2006,40
Very Low,Abu Dhabi,Upper Zakum,2006,550
Low,United States,Mars Blend,2006,236.11
Low,United Kingdom,Flotta Gold,2006,47
Low,Saudi Arabia,Arab Heavy,2006,900
Low,Nigeria,"Bonga, Bonny Light",2006,645.83
Low,Mexico,Isthmus,2006,831.5
Low,Kazakhstan,Tengiz,2006,10
Low,Egypt,Belayim Blend,2006,150
Low,Dubai,Dubai,2006,89
Low,China,"Daqing, Peng Lai",2006,926.5
Medium,United States,Alaska North Slope,2006,758.9
Medium,United Kingdom,Forties Blend,2006,501
Medium,Syria,"Souedieh, Syrian Light",2006,370
Medium,Saudi Arabia,Arab Extra Light,2006,1300
Medium,Russia,"Urals, Sokol, Siberian Light",2006,8640
Medium,Qatar,"Qatar Marine, Dukhan",2006,530
Medium,Norway,"Troll, Oseberg, Asgard Blend",2006,606.34
Medium,Nigeria,Amenam Blend,2006,189.1
Medium,Neutral Zone,Wafra,2006,160
Medium,Libya,Bouri,2006,60
Medium,Iran,Foroozan Blend,2006,500
Medium,Equatorial Guinea,"Alba Condensate, New Zafiro",2006,309
Medium,Ecuador,Napo,2006,168.47
Medium,Denmark,Danish Crude Blend,2006,290.4
Medium,Congo (Brazzaville),Djeno,2006,145
Medium,Colombia,Cusiana,2006,126
Medium,Canada,Hibernia,2006,178.34
Medium,Brazil,"Roncador, Jubarte",2006,85.05
Medium,Azerbaijan,Azeri Light,2006,200
Medium,Australia,Gippsland,2006,79
Medium,Argentina,Escalante,2006,165.31
Medium,Angola,"Nemba, Cabinda, Girassol, Hungo",2006,902.49
Medium,Abu Dhabi,Murban,2006,1200
High,Vietnam,"Su Tu Den, Bach Ho",2006,270
High,United States,"West Texas Sour, West Texas Intermediate",2006,584.58
High,Nigeria,"Okono Blend, Erha, Forcados",2006,272.1
High,Mexico,Maya,2006,2243.8
High,Malaysia,Tapis,2006,300
High,Libya,"Amna, El-Sharara, Es Sider",2006,798
High,Iraq,"Kirkuk, Basrah Light",2006,1800
High,Iran,Nowruz-Soroush,2006,190
High,Egypt,Suez Blend,2006,290
High,Ecuador,Oriente,2006,355.54
High,China,"Panyu, Nanhai Light",2006,150
High,Chad,Doba,2006,160.64
High,Brazil,Marlim,2006,589
High,Angola,Kissanje Blend,2006,262.88
High,Algeria,"Saharan Blend, Algerian Condensate",2006,1600
Very High,Venezuela,"Boscan, Hamaca",2006,296
Very High,Nigeria,"Brass River, Escravos, Qua Iboe",2006,907.5
Very High,Malaysia,Miri,2006,75
Very High,Libya,"Zueitina, Brega, Abu Attifel, Mellitah, Sarir, Sirtica",2006,866
Very High,Iran,"Iran Heavy, Iran Light",2006,2950
Very High,Indonesia,"Duri, Minas",2006,474
Very High,Gabon,Rabi Light,2006,60.13
Very High,Canada,"Syncrude Sweet Premium, Cold Lake Blend",2006,533
Very High,Australia,Northwest Shelf Condensate,2006,82.4
Very Low,United Kingdom,"Schiehallion Blend, Clair",2007,82
Very Low,Saudi Arabia,"Arab Medium, Arab Light",2007,6150
Very Low,Norway,"Statfjord Blend, Heidrun, Gullfaks Blend, Ekofisk Blend",2007,1047.76
Very Low,Kuwait,Kuwait,2007,2211
Very Low,China,Shengli,2007,556
Very Low,Abu Dhabi,Upper Zakum,2007,500
Low,United States,"Mars Blend, Bakken",2007,429.85
Low,United Kingdom,Flotta Gold,2007,53
Low,Saudi Arabia,Arab Heavy,2007,900
Low,Nigeria,"Bonny Light, Bonga",2007,541.05
Low,Mexico,Isthmus,2007,837.7
Low,Kazakhstan,Tengiz,2007,10
Low,Egypt,Belayim Blend,2007,120
Low,Dubai,Dubai,2007,77
Low,China,"Peng Lai, Daqing",2007,862
Medium,United States,"Alaska North Slope, Eagle Ford",2007,791.47
Medium,United Kingdom,Forties Blend,2007,603
Medium,Syria,"Syrian Light, Souedieh",2007,320
Medium,Saudi Arabia,Arab Extra Light,2007,1300
Medium,Russia,"Siberian Light, Sokol, Urals",2007,9014
Medium,Qatar,"Dukhan, Qatar Marine",2007,516.6
Medium,Norway,"Asgard Blend, Oseberg, Troll",2007,616
Medium,Nigeria,Amenam Blend,2007,179.73
Medium,Neutral Zone,Wafra,2007,202
Medium,Libya,Bouri,2007,55
Medium,Iran,Foroozan Blend,2007,400
Medium,Equatorial Guinea,"New Zafiro, Alba Condensate",2007,262
Medium,Ecuador,Napo,2007,157.4
Medium,Denmark,Danish Crude Blend,2007,275.08
Medium,Congo (Brazzaville),Djeno,2007,140
Medium,Colombia,Cusiana,2007,82
Medium,Canada,Hibernia,2007,145.16
Medium,Brazil,"Jubarte, Roncador",2007,124.93
Medium,Azerbaijan,Azeri Light,2007,100
Medium,Australia,Gippsland,2007,72
Medium,Argentina,Escalante,2007,164.63
Medium,Angola,"Hungo, Girassol, Cabinda, Dalia, Nemba",2007,1238.57
Medium,Abu Dhabi,Murban,2007,1400
High,Vietnam,"Bach Ho, Su Tu Den",2007,223
High,United States,"West Texas Intermediate, West Texas Sour",2007,590.43
High,Nigeria,"Forcados, Erha, Okono Blend",2007,299.78
High,Mexico,Maya,2007,2039.4
High,Malaysia,Tapis,2007,311
High,Libya,"Es Sider, El-Sharara, Amna",2007,791
High,Iraq,"Basrah Light, Kirkuk",2007,2000
High,Iran,Nowruz-Soroush,2007,175
High,Egypt,Suez Blend,2007,160
High,Ecuador,Oriente,2007,341.56
High,China,"Nanhai Light, Panyu",2007,170
High,Chad,Doba,2007,144
High,Brazil,Marlim,2007,515.01
High,Angola,"Kissanje Blend, Plutonio",2007,274.38
High,Algeria,"Algerian Condensate, Saharan Blend",2007,1591
Very High,Venezuela,"Hamaca, Boscan",2007,262
Very High,Nigeria,"Qua Iboe, Escravos, Brass River",2007,824.06
Very High,Malaysia,Miri,2007,61
Very High,Libya,"Sirtica, Sarir, Mellitah, Abu Attifel, Brega, Zueitina",2007,733
Very High,Iran,"Iran Light, Iran Heavy",2007,3100
Very High,Indonesia,"Minas, Duri",2007,435
Very High,Gabon,Rabi Light,2007,60.24
Very High,Canada,"Cold Lake Blend, Syncrude Sweet Premium",2007,652.3
Very High,Australia,Northwest Shelf Condensate,2007,89
Very Low,United Kingdom,"Clair, Schiehallion Blend",2008,91
Very Low,Saudi Arabia,"Arab Light, Arab Medium",2008,6550
Very Low,Norway,"Ekofisk Blend, Gullfaks Blend, Heidrun, Statfjord Blend",2008,946.41
Very Low,Kuwait,Kuwait,2008,2410
Very Low,China,Shengli,2008,555.6
Very Low,Abu Dhabi,Upper Zakum,2008,500
Low,United States,"Bakken, Mars Blend",2008,399.73
Low,United Kingdom,Flotta Gold,2008,58
Low,Saudi Arabia,Arab Heavy,2008,900
Low,Nigeria,"Bonga, Bonny Light",2008,396.98
Low,Mexico,Isthmus,2008,815.5
Low,Kazakhstan,Tengiz,2008,46
Low,Egypt,Belayim Blend,2008,125
Low,Dubai,Dubai,2008,65.5
Low,China,"Daqing, Peng Lai",2008,858
Medium,United States,"Eagle Ford, Alaska North Slope, Thunder Horse",2008,791.54
Medium,United Kingdom,Forties Blend,2008,639
Medium,Turkmenistan,Cheleken,2008,41
Medium,Syria,"Souedieh, Syrian Light",2008,280
Medium,Saudi Arabia,Arab Extra Light,2008,1300
Medium,Russia,"Urals, Sokol, Siberian Light",2008,8931
Medium,Qatar,"Qatar Marine, Dukhan",2008,550
Medium,Norway,"Troll, Oseberg, Asgard Blend",2008,610.08
Medium,Nigeria,Amenam Blend,2008,150
Medium,Neutral Zone,Wafra,2008,180
Medium,Libya,Bouri,2008,55
Medium,Iran,Foroozan Blend,2008,335
Medium,Equatorial Guinea,"Alba Condensate, New Zafiro",2008,260
Medium,Ecuador,Napo,2008,140.26
Medium,Denmark,Danish Crude Blend,2008,249.75
Medium,Congo (Brazzaville),Djeno,2008,160
Medium,Colombia,Cusiana,2008,80.3
Medium,Canada,Hibernia,2008,129.09
Medium,Brazil,"Roncador, Jubarte",2008,301.18
Medium,Azerbaijan,Azeri Light,2008,86
Medium,Australia,Gippsland,2008,69.6
Medium,Argentina,Escalante,2008,161.08
Medium,Angola,"Nemba, Mondo, Dalia, Cabinda, Girassol, Hungo",2008,1312.19
Medium,Abu Dhabi,Murban,2008,1400
High,Vietnam,"Su Tu Den, Bach Ho",2008,210
High,United States,"West Texas Sour, West Texas Intermediate",2008,618.57
High,Nigeria,"Okono Blend, Erha, Forcados, Agbami",2008,455.4
High,Mexico,Maya,2008,1765.6
High,Malaysia,Tapis,2008,220
High,Libya,"Amna, El-Sharara, Es Sider",2008,890
High,Iraq,"Kirkuk, Basrah Light",2008,2198
High,Iran,Nowruz-Soroush,2008,160
High,Egypt,Suez Blend,2008,130
High,Ecuador,Oriente,2008,354.03
High,China,"Panyu, Nanhai Light, Changqing",2008,374
High,Chad,Doba,2008,127
High,Brazil,Marlim,2008,487.13
High,Australia,Vincent,2008,35.8
High,Angola,"Plutonio, Kissanje Blend",2008,437.53
High,Algeria,"Saharan Blend, Algerian Condensate",2008,1542.6
Very High,Venezuela,"Boscan, Hamaca, Santa Barbara, Merey-16",2008,948.5
Very High,Nigeria,"Brass River, Escravos, Qua Iboe",2008,756
Very High,Malaysia,Miri,2008,74
Very High,Libya,"Zueitina, Brega, Abu Attifel, Mellitah, Sarir, Sirtica",2008,707
Very High,Iran,"Iran Heavy, Iran Light",2008,3100
Very High,Indonesia,"Duri, Minas",2008,407
Very High,Gabon,Rabi Light,2008,65
Very High,Canada,"Syncrude Sweet Premium, Cold Lake Blend",2008,636.4
Very High,Australia,Northwest Shelf Condensate,2008,97
Very Low,United Kingdom,"Schiehallion Blend, Clair",2009,68
Very Low,Saudi Arabia,"Arab Medium, Arab Light",2009,5483
Very Low,Norway,"Statfjord Blend, Heidrun, Gullfaks Blend, Ekofisk Blend",2009,792.08
Very Low,Kuwait,Kuwait,2009,2025.29
Very Low,Iran,South Pars Condensate,2009,200
Very Low,China,Shengli,2009,541
Very Low,Abu Dhabi,Upper Zakum,2009,455
Low,United States,"Mars Blend, Bakken",2009,455.19
Low,United Kingdom,Flotta Gold,2009,54
Low,Saudi Arabia,Arab Heavy,2009,800
Low,Nigeria,"Bonny Light, Bonga, Akpo Blend",2009,392.5
Low,Mexico,Isthmus,2009,811.8
Low,Kazakhstan,Tengiz,2009,122.04
Low,Egypt,Belayim Blend,2009,125
Low,Dubai,Dubai,2009,54
Low,China,"Peng Lai, Daqing",2009,895
Medium,United States,"Thunder Horse, Alaska North Slope, Eagle Ford",2009,909.57
Medium,United Kingdom,Forties Blend,2009,621
Medium,Turkmenistan,Cheleken,2009,45
Medium,Syria,"Syrian Light, Souedieh",2009,278
Medium,Saudi Arabia,Arab Extra Light,2009,1400
Medium,Russia,"Siberian Light, Sokol, Urals",2009,9649
Medium,Qatar,"Dukhan, Qatar Marine",2009,485
Medium,Norway,"Asgard Blend, Oseberg, Troll",2009,605.5
Medium,Nigeria,Amenam Blend,2009,127
Medium,Neutral Zone,Wafra,2009,174
Medium,Libya,Bouri,2009,45
Medium,Iran,Foroozan Blend,2009,300
Medium,Equatorial Guinea,"New Zafiro, Alba Condensate",2009,270
Medium,Ecuador,Napo,2009,117.97
Medium,Denmark,Danish Crude Blend,2009,231.51
Medium,Congo (Brazzaville),Djeno,2009,190
Medium,Colombia,Cusiana,2009,80.3
Medium,Canada,Hibernia,2009,118.22
Medium,Brazil,"Jubarte, Frade, Roncador, Tupi",2009,406.84
Medium,Azerbaijan,Azeri Light,2009,90
Medium,Australia,Gippsland,2009,73
Medium,Argentina,Escalante,2009,159.84
Medium,Angola,"Hungo, Girassol, Cabinda, Dalia, Mondo, Nemba",2009,1132.23
Medium,Abu Dhabi,Murban,2009,1200
High,Vietnam,"Bach Ho, Su Tu Den",2009,223.5
High,United States,"West Texas Intermediate, West Texas Sour",2009,623.77
High,Nigeria,"Agbami, Forcados, Erha, Okono Blend",2009,573
High,Mexico,Maya,2009,1519.9
High,Malaysia,Tapis,2009,170
High,Libya,"Es Sider, El-Sharara, Amna",2009,797.3
High,Iraq,"Basrah Light, Kirkuk",2009,2312
High,Iran,Nowruz-Soroush,2009,150
High,Egypt,Suez Blend,2009,130
High,Ecuador,Oriente,2009,356.82
High,China,"Changqing, Nanhai Light, Panyu",2009,405.6
High,Chad,Doba,2009,120
High,Brazil,Marlim,2009,613.77
