Crude,Year of Date,Month of Date,Monthly production dynamic title,Avg. Value
West Texas Sour,2025,January,United States Production,935.398945
West Texas Light,2025,January,United States Production,736.139037
West Texas Intermediate (Midland),2025,January,United States Production,3041.151999
West Texas Intermediate,2025,January,United States Production,2308.26939
Total,2025,January,United States Production,13141
Thunder Horse,2025,January,United States Production,127.109169
Southern Green Canyon,2025,January,United States Production,171.666
Poseidon,2025,January,United States Production,192.119202
Other Crudes - United States,2025,January,United States Production,2595.231247
Mars Blend,2025,January,United States Production,212.34
Light Louisiana Sweet,2025,January,United States Production,43.05
Hoops Blend,2025,January,United States Production,71.767588
Heavy Louisiana Sweet,2025,January,United States Production,30
Eagle Ford,2025,January,United States Production,1099.757423
Bakken,2025,January,United States Production,1172
Alaska North Slope,2025,January,United States Production,410
West Texas Sour,2025,February,United States Production,935.398945
West Texas Light,2025,February,United States Production,736.139037
West Texas Intermediate (Midland),2025,February,United States Production,3041.151999
West Texas Intermediate,2025,February,United States Production,2308.26939
Total,2025,February,United States Production,13240
Thunder Horse,2025,February,United States Production,127.109169
Southern Green Canyon,2025,February,United States Production,171.666
Poseidon,2025,February,United States Production,192.119202
Other Crudes - United States,2025,February,United States Production,2726.231247
Mars Blend,2025,February,United States Production,212.34
Light Louisiana Sweet,2025,February,United States Production,43.05
Hoops Blend,2025,February,United States Production,71.767588
Heavy Louisiana Sweet,2025,February,United States Production,30
Eagle Ford,2025,February,United States Production,1099.757423
Bakken,2025,February,United States Production,1132
Alaska North Slope,2025,February,United States Production,410
West Texas Sour,2025,March,United States Production,935.398945
West Texas Light,2025,March,United States Production,736.139037
West Texas Intermediate (Midland),2025,March,United States Production,3041.151999
West Texas Intermediate,2025,March,United States Production,2308.26939
Total,2025,March,United States Production,13450
Thunder Horse,2025,March,United States Production,127.109169
Southern Green Canyon,2025,March,United States Production,171.666
Poseidon,2025,March,United States Production,192.119202
Other Crudes - United States,2025,March,United States Production,2904.231247
Mars Blend,2025,March,United States Production,212.34
Light Louisiana Sweet,2025,March,United States Production,43.05
Hoops Blend,2025,March,United States Production,71.767588
Heavy Louisiana Sweet,2025,March,United States Production,30
Eagle Ford,2025,March,United States Production,1099.757423
Bakken,2025,March,United States Production,1167
Alaska North Slope,2025,March,United States Production,410
West Texas Sour,2025,April,United States Production,966.929246
West Texas Light,2025,April,United States Production,788.306371
West Texas Intermediate (Midland),2025,April,United States Production,3152.020023
West Texas Intermediate,2025,April,United States Production,2392.419497
Total,2025,April,United States Production,13464
Thunder Horse,2025,April,United States Production,127.109169
Southern Green Canyon,2025,April,United States Production,171.666
Poseidon,2025,April,United States Production,196.000398
Other Crudes - United States,2025,April,United States Production,2621.205483
Mars Blend,2025,April,United States Production,218.92
Light Louisiana Sweet,2025,April,United States Production,43.05
Hoops Blend,2025,April,United States Production,72.126426
Heavy Louisiana Sweet,2025,April,United States Production,30
Eagle Ford,2025,April,United States Production,1123.247388
Bakken,2025,April,United States Production,1156
Alaska North Slope,2025,April,United States Production,405
West Texas Sour,2025,May,United States Production,966.929246
West Texas Light,2025,May,United States Production,788.306371
West Texas Intermediate (Midland),2025,May,United States Production,3152.020023
West Texas Intermediate,2025,May,United States Production,2392.419497
Total,2025,May,United States Production,13488
Thunder Horse,2025,May,United States Production,127.109169
Southern Green Canyon,2025,May,United States Production,171.666
Poseidon,2025,May,United States Production,196.000398
Other Crudes - United States,2025,May,United States Production,2690.205483
Mars Blend,2025,May,United States Production,218.92
Light Louisiana Sweet,2025,May,United States Production,43.05
Hoops Blend,2025,May,United States Production,72.126426
Heavy Louisiana Sweet,2025,May,United States Production,30
Eagle Ford,2025,May,United States Production,1123.247388
Bakken,2025,May,United States Production,1111
Alaska North Slope,2025,May,United States Production,405
West Texas Sour,2025,June,United States Production,966.929246
West Texas Light,2025,June,United States Production,788.306371
West Texas Intermediate (Midland),2025,June,United States Production,3152.020023
West Texas Intermediate,2025,June,United States Production,2392.419497
Total,2025,June,United States Production,13500
Thunder Horse,2025,June,United States Production,127.109169
Southern Green Canyon,2025,June,United States Production,171.666
Poseidon,2025,June,United States Production,196.000398
Other Crudes - United States,2025,June,United States Production,2646.205483
Mars Blend,2025,June,United States Production,218.92
Light Louisiana Sweet,2025,June,United States Production,43.05
Hoops Blend,2025,June,United States Production,72.126426
Heavy Louisiana Sweet,2025,June,United States Production,30
Eagle Ford,2025,June,United States Production,1123.247388
Bakken,2025,June,United States Production,1167
Alaska North Slope,2025,June,United States Production,405
West Texas Sour,2025,July,United States Production,944.752934
West Texas Light,2025,July,United States Production,758.223208
West Texas Intermediate (Midland),2025,July,United States Production,3114.139647
West Texas Intermediate,2025,July,United States Production,2363.667855
Total,2025,July,United States Production,13500
Thunder Horse,2025,July,United States Production,127.109169
Southern Green Canyon,2025,July,United States Production,171.666
Poseidon,2025,July,United States Production,194.0598
Other Crudes - United States,2025,July,United States Production,2740.469331
Mars Blend,2025,July,United States Production,223.62
Light Louisiana Sweet,2025,July,United States Production,43.05
Hoops Blend,2025,July,United States Production,72.487058
Heavy Louisiana Sweet,2025,July,United States Production,30
Eagle Ford,2025,July,United States Production,1110.754997
Bakken,2025,July,United States Production,1206
Alaska North Slope,2025,July,United States Production,400
West Texas Sour,2024,January,United States Production,917
West Texas Light,2024,January,United States Production,694
West Texas Intermediate (Midland),2024,January,United States Production,2926.075215
West Texas Intermediate,2024,January,United States Production,2220.924785
Total,2024,January,United States Production,12553
Thunder Horse,2024,January,United States Production,128
Southern Green Canyon,2024,January,United States Production,168
Poseidon,2024,January,United States Production,194
Other Crudes - United States,2024,January,United States Production,2349
Mars Blend,2024,January,United States Production,213
Light Louisiana Sweet,2024,January,United States Production,42
Hoops Blend,2024,January,United States Production,70
Heavy Louisiana Sweet,2024,January,United States Production,30
Eagle Ford,2024,January,United States Production,1078
Bakken,2024,January,United States Production,1102
Alaska North Slope,2024,January,United States Production,421
West Texas Sour,2024,February,United States Production,932
West Texas Light,2024,February,United States Production,720
West Texas Intermediate (Midland),2024,February,United States Production,3208
West Texas Intermediate,2024,February,United States Production,2130
Total,2024,February,United States Production,13105
Thunder Horse,2024,February,United States Production,128
Southern Green Canyon,2024,February,United States Production,168
Poseidon,2024,February,United States Production,195
Other Crudes - United States,2024,February,United States Production,2519
Mars Blend,2024,February,United States Production,214
Light Louisiana Sweet,2024,February,United States Production,41
Hoops Blend,2024,February,United States Production,70
Heavy Louisiana Sweet,2024,February,United States Production,30
Eagle Ford,2024,February,United States Production,1081
Bakken,2024,February,United States Production,1248
Alaska North Slope,2024,February,United States Production,421
West Texas Sour,2024,March,United States Production,917
West Texas Light,2024,March,United States Production,694
West Texas Intermediate (Midland),2024,March,United States Production,2926.075215
West Texas Intermediate,2024,March,United States Production,2220.924785
Total,2024,March,United States Production,13171
Thunder Horse,2024,March,United States Production,128
Southern Green Canyon,2024,March,United States Production,168
Poseidon,2024,March,United States Production,194
Other Crudes - United States,2024,March,United States Production,2854
Mars Blend,2024,March,United States Production,213
Light Louisiana Sweet,2024,March,United States Production,42
Hoops Blend,2024,March,United States Production,70
Heavy Louisiana Sweet,2024,March,United States Production,30
Eagle Ford,2024,March,United States Production,1078
Bakken,2024,March,United States Production,1215
Alaska North Slope,2024,March,United States Production,421
West Texas Sour,2024,April,United States Production,947.87692
West Texas Light,2024,April,United States Production,743.05436
West Texas Intermediate (Midland),2024,April,United States Production,3032.654733
West Texas Intermediate,2024,April,United States Production,2301.819867
Total,2024,April,United States Production,13249
Thunder Horse,2024,April,United States Production,128.3931
Southern Green Canyon,2024,April,United States Production,168.3
Poseidon,2024,April,United States Production,197.9802
Other Crudes - United States,2024,April,United States Production,2619.194094
Mars Blend,2024,April,United States Production,219.91
Light Louisiana Sweet,2024,April,United States Production,42
Hoops Blend,2024,April,United States Production,70.70175
Heavy Louisiana Sweet,2024,April,United States Production,30
Eagle Ford,2024,April,United States Production,1101.114976
Bakken,2024,April,United States Production,1227
Alaska North Slope,2024,April,United States Production,419
West Texas Sour,2024,May,United States Production,947.87692
West Texas Light,2024,May,United States Production,743.05436
West Texas Intermediate (Midland),2024,May,United States Production,3032.654733
West Texas Intermediate,2024,May,United States Production,2301.819867
Total,2024,May,United States Production,13201
Thunder Horse,2024,May,United States Production,128.3931
Southern Green Canyon,2024,May,United States Production,168.3
Poseidon,2024,May,United States Production,197.9802
Other Crudes - United States,2024,May,United States Production,2614.194094
Mars Blend,2024,May,United States Production,219.91
Light Louisiana Sweet,2024,May,United States Production,42
Hoops Blend,2024,May,United States Production,70.70175
Heavy Louisiana Sweet,2024,May,United States Production,30
Eagle Ford,2024,May,United States Production,1101.114976
