Year of YearReported,Measure Names,Avg. ExportDataValue,Avg. ProductionDataValue
2024,Crude Exports,115,
2023,Crude Exports,164,
2022,Crude Exports,157,
2021,Crude Exports,151,
2020,Crude Exports,172,
2019,Crude Exports,86,
2018,Crude Exports,113,
2017,Crude Exports,75,
2016,Crude Exports,50,
2015,Crude Exports,65,
2014,Crude Exports,72,
2013,Crude Exports,5,
2012,Crude Exports,4,
2011,Crude Exports,3,
2010,Crude Exports,3,
2009,Crude Exports,1,
2008,Crude Exports,0,
2007,Crude Exports,0,
2006,Crude Exports,1,
2024,Crude Production,,219
2023,Crude Production,,220
2022,Crude Production,,235
2021,Crude Production,,230
2020,Crude Production,,251
2019,Crude Production,,270
2018,Crude Production,,227.4
2017,Crude Production,,204.2
2016,Crude Production,,200
2015,Crude Production,,102.7
2014,Crude Production,,168.31
2013,Crude Production,,146.88
2012,Crude Production,,151.79
2011,Crude Production,,189.98
2010,Crude Production,,199.48
2009,Crude Production,,225.3
2008,Crude Production,,218.06
2007,Crude Production,,291.68
2006,Crude Production,,236.11
