Source,Copyright,Property,Unit,Column Header,Avg. Value
Source: Energy Intelligence,"COPYRIGHT © 2001-2025 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Barrels,Per Metric Ton,Value,7.127
Source: Energy Intelligence,"COPYRIGHT © 2001-2025 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Gravity,API at 60 F,Value,28.508517
Source: Energy Intelligence,"COPYRIGHT © 2001-2025 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Mercaptan Sulfur,ppm,Value,28
Source: Energy Intelligence,"COPYRIGHT © 2001-2025 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Micro Carbon Residue,% Wt,Value,6.524596
Source: Energy Intelligence,"COPYRIGHT © 2001-2025 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Nickel,ppm,Value,22.134653
Source: Energy Intelligence,"COPYRIGHT © 2001-2025 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Pour Point,Temp. C,Value,-33
Source: Energy Intelligence,"COPYRIGHT © 2001-2025 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Reid Vapor Pressure,psi at 37.8 C,Value,6.66
Source: Energy Intelligence,"COPYRIGHT © 2001-2025 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Sulfur Content,% Wt,Value,2.206909
Source: Energy Intelligence,"COPYRIGHT © 2001-2025 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Total Acid Number,Mg KOH/g,Value,0.4585
Source: Energy Intelligence,"COPYRIGHT © 2001-2025 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Vanadium,ppm,Value,62.235783
Source: Energy Intelligence,"COPYRIGHT © 2001-2025 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Viscosity,cSt at 50 C,Value,11.234791
Source: Energy Intelligence,"COPYRIGHT © 2001-2025 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Viscosity,cSt at 40 C,Value,14.817199
Source: Energy Intelligence,"COPYRIGHT © 2001-2025 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Viscosity,cSt at 20 C,Value,28.877106
