Week of Date,Country,Unit,Value
"December 30, 2018",Sweden,Million Cubic Meter,130
"January 27, 2019",Sweden,Million Cubic Meter,104
"February 24, 2019",Sweden,Million Cubic Meter,126
"March 31, 2019",Sweden,Million Cubic Meter,101
"April 28, 2019",Sweden,Million Cubic Meter,124
"May 26, 2019",Sweden,Million Cubic Meter,62
"June 30, 2019",Sweden,Million Cubic Meter,62
"July 28, 2019",Sweden,Million Cubic Meter,75
"September 1, 2019",Sweden,Million Cubic Meter,66
"September 29, 2019",Sweden,Million Cubic Meter,66
"October 27, 2019",Sweden,Million Cubic Meter,98
"December 1, 2019",Sweden,Million Cubic Meter,118
"December 29, 2019",Sweden,Million Cubic Meter,116
"January 26, 2020",Sweden,Million Cubic Meter,114.9
"March 1, 2020",Sweden,Million Cubic Meter,94
"March 29, 2020",Sweden,Million Cubic Meter,74.47
"April 26, 2020",Sweden,Million Cubic Meter,77.5
"May 31, 2020",Sweden,Million Cubic Meter,83.72
"June 28, 2020",Sweden,Million Cubic Meter,53.5
"July 26, 2020",Sweden,Million Cubic Meter,85.5
"August 30, 2020",Sweden,Million Cubic Meter,80.4
"September 27, 2020",Sweden,Million Cubic Meter,162
"November 1, 2020",Sweden,Million Cubic Meter,142
"November 29, 2020",Sweden,Million Cubic Meter,177
"December 27, 2020",Sweden,Million Cubic Meter,184
"January 31, 2021",Sweden,Million Cubic Meter,155
"February 28, 2021",Sweden,Million Cubic Meter,116
"March 28, 2021",Sweden,Million Cubic Meter,100
"April 25, 2021",Sweden,Million Cubic Meter,63.6
"May 30, 2021",Sweden,Million Cubic Meter,103.7
"June 27, 2021",Sweden,Million Cubic Meter,64
"August 1, 2021",Sweden,Million Cubic Meter,80.715
"August 29, 2021",Sweden,Million Cubic Meter,73.245
"September 26, 2021",Sweden,Million Cubic Meter,90.168
"October 31, 2021",Sweden,Million Cubic Meter,102.823
"November 28, 2021",Sweden,Million Cubic Meter,114.943
"December 26, 2021",Sweden,Million Cubic Meter,102.173
"January 30, 2022",Sweden,Million Cubic Meter,81.744
"February 27, 2022",Sweden,Million Cubic Meter,59.639
"March 27, 2022",Sweden,Million Cubic Meter,49.835536
"May 1, 2022",Sweden,Million Cubic Meter,45.49626
"May 29, 2022",Sweden,Million Cubic Meter,37.205
"June 26, 2022",Sweden,Million Cubic Meter,52.581
"July 31, 2022",Sweden,Million Cubic Meter,53.86
"August 28, 2022",Sweden,Million Cubic Meter,47.002407
"September 25, 2022",Sweden,Million Cubic Meter,54.708
"October 30, 2022",Sweden,Million Cubic Meter,53.54
"November 27, 2022",Sweden,Million Cubic Meter,81.701
"January 1, 2023",Sweden,Million Cubic Meter,77.437
"January 29, 2023",Sweden,Million Cubic Meter,68.241
"February 26, 2023",Sweden,Million Cubic Meter,85.51
"March 26, 2023",Sweden,Million Cubic Meter,48.795082
"April 30, 2023",Sweden,Million Cubic Meter,53.00545
"May 28, 2023",Sweden,Million Cubic Meter,47.754346
"June 25, 2023",Sweden,Million Cubic Meter,47.97611
"July 30, 2023",Sweden,Million Cubic Meter,50.967632
"August 27, 2023",Sweden,Million Cubic Meter,64.398869
"October 1, 2023",Sweden,Million Cubic Meter,63.725905
"October 29, 2023",Sweden,Million Cubic Meter,82.652429
"November 26, 2023",Sweden,Million Cubic Meter,91.897857
"December 31, 2023",Sweden,Million Cubic Meter,126.118
"January 28, 2024",Sweden,Million Cubic Meter,88.688
"February 25, 2024",Sweden,Million Cubic Meter,68.739707
"March 31, 2024",Sweden,Million Cubic Meter,79.708001
"April 28, 2024",Sweden,Million Cubic Meter,59.571
"May 26, 2024",Sweden,Million Cubic Meter,51.642999
"June 30, 2024",Sweden,Million Cubic Meter,55.036001
"July 28, 2024",Sweden,Million Cubic Meter,60.782
"September 1, 2024",Sweden,Million Cubic Meter,59.087
"September 29, 2024",Sweden,Million Cubic Meter,50.234
"October 27, 2024",Sweden,Million Cubic Meter,79.227
"December 1, 2024",Sweden,Million Cubic Meter,72.751
"December 29, 2024",Sweden,Million Cubic Meter,81.144
"January 26, 2025",Sweden,Million Cubic Meter,79.687
"February 23, 2025",Sweden,Million Cubic Meter,53.846
"March 30, 2025",Sweden,Million Cubic Meter,56.334
"April 27, 2025",Sweden,Million Cubic Meter,46.796999
"June 1, 2025",Sweden,Million Cubic Meter,54.033
"June 29, 2025",Sweden,Million Cubic Meter,49.403001
"July 27, 2025",Sweden,Million Cubic Meter,62.814999
"August 31, 2025",Sweden,Million Cubic Meter,45.393001
"September 28, 2025",Sweden,Million Cubic Meter,66.862
"December 30, 2018",Spain,Million Cubic Meter,5253
"January 27, 2019",Spain,Million Cubic Meter,4205
"February 24, 2019",Spain,Million Cubic Meter,3989
"March 31, 2019",Spain,Million Cubic Meter,3693
"April 28, 2019",Spain,Million Cubic Meter,3283
"May 26, 2019",Spain,Million Cubic Meter,3125
"June 30, 2019",Spain,Million Cubic Meter,3336
"July 28, 2019",Spain,Million Cubic Meter,3124
