Country,Year of Date,Unit,Latitude (generated),Longitude (generated),Value
United Kingdom,2024,Million Cubic Meter,52.289,-1.259,57577.02932
Sweden,2024,Million Cubic Meter,66.2188,19,850.752746
Spain,2024,Million Cubic Meter,40.617,-3.388,31805
Slovenia,2024,Million Cubic Meter,46.037,14.534,971.920957
Slovakia,2024,Million Cubic Meter,48.8595,19.4434,4859.50713
Serbia,2024,Million Cubic Meter,44.021,20.699,3085.930114
Romania,2024,Million Cubic Meter,45.933,25.119,11208.925261
Portugal,2024,Million Cubic Meter,40.957,-7.9373,3860.95238
Poland,2024,Million Cubic Meter,52.442,19.72,21946.591955
Netherlands,2024,Million Cubic Meter,52.1704,5.0102,30091.169713
Luxembourg,2024,Million Cubic Meter,49.671,6.113,629.791982
Italy,2024,Million Cubic Meter,44.3713,11.1084,60012.762816
Hungary,2024,Million Cubic Meter,47.174,19.618,9912.485312
Greece,2024,Million Cubic Meter,39.787,21.617,6303.828114
Germany,2024,Million Cubic Meter,51.3819,9.9877,80406
France,2024,Million Cubic Meter,46.656,2.543,32839
Finland,2024,Million Cubic Meter,62.716,26.192,1778.585157
Denmark,2024,Million Cubic Meter,56.113,9.096,2327.275313
Czech Republic,2024,Million Cubic Meter,49.848,15.2812,7456.70754
Croatia,2024,Million Cubic Meter,45.754,16.385,2358.433103
Bulgaria,2024,Million Cubic Meter,42.625,24.521,3041.150221
Belgium,2024,Million Cubic Meter,50.6745,4.4588,13046.722992
Austria,2024,Million Cubic Meter,47.65,14.705,7224.932461
