Country,Year of Date,Month of Date,Unit,Value
United Kingdom,2025,January,Million Cubic Meter,9014.019466
Sweden,2025,January,Million Cubic Meter,81.144
Spain,2025,January,Million Cubic Meter,2778
Slovenia,2025,January,Million Cubic Meter,126.31719
Slovakia,2025,January,Million Cubic Meter,703.351524
Serbia,2025,January,Million Cubic Meter,491.77755
Romania,2025,January,Million Cubic Meter,1594.835356
Portugal,2025,January,Million Cubic Meter,400.380952
Poland,2025,January,Million Cubic Meter,2699.881626
Netherlands,2025,January,Million Cubic Meter,4060
Luxembourg,2025,January,Million Cubic Meter,92.714412
Italy,2025,January,Million Cubic Meter,7940.922019
Hungary,2025,January,Million Cubic Meter,1525.370762
Greece,2025,January,Million Cubic Meter,725.472149
Germany,2025,January,Million Cubic Meter,11771
France,2025,January,Million Cubic Meter,5109
Finland,2025,January,Million Cubic Meter,157.911809
Denmark,2025,January,Million Cubic Meter,304.912999
Czech Republic,2025,January,Million Cubic Meter,1141.721143
Croatia,2025,January,Million Cubic Meter,313.600014
Bulgaria,2025,January,Million Cubic Meter,336.546325
Belgium,2025,January,Million Cubic Meter,1854.251709
Austria,2025,January,Million Cubic Meter,1126.477053
United Kingdom,2025,February,Million Cubic Meter,7260.904103
Sweden,2025,February,Million Cubic Meter,79.687
Spain,2025,February,Million Cubic Meter,3529
Slovenia,2025,February,Million Cubic Meter,109.545571
Slovakia,2025,February,Million Cubic Meter,635.304867
Serbia,2025,February,Million Cubic Meter,458.8379
Romania,2025,February,Million Cubic Meter,1577.665514
Portugal,2025,February,Million Cubic Meter,353.04762
Poland,2025,February,Million Cubic Meter,2571.308551
Netherlands,2025,February,Million Cubic Meter,3552
Luxembourg,2025,February,Million Cubic Meter,78.606724
Italy,2025,February,Million Cubic Meter,7192.158433
Hungary,2025,February,Million Cubic Meter,1462.646476
Greece,2025,February,Million Cubic Meter,736.195482
Germany,2025,February,Million Cubic Meter,10475
France,2025,February,Million Cubic Meter,4264
Finland,2025,February,Million Cubic Meter,146.17667
Denmark,2025,February,Million Cubic Meter,269.352
Czech Republic,2025,February,Million Cubic Meter,1050.634
Croatia,2025,February,Million Cubic Meter,290.814703
Bulgaria,2025,February,Million Cubic Meter,334.91325
Belgium,2025,February,Million Cubic Meter,1587.950714
Austria,2025,February,Million Cubic Meter,1023.78791
United Kingdom,2025,March,Million Cubic Meter,6131.193822
Sweden,2025,March,Million Cubic Meter,53.846
Spain,2025,March,Million Cubic Meter,3545
Slovenia,2025,March,Million Cubic Meter,101.962418
Slovakia,2025,March,Million Cubic Meter,510.442027
Serbia,2025,March,Million Cubic Meter,320
Romania,2025,March,Million Cubic Meter,1086.749699
Portugal,2025,March,Million Cubic Meter,348.476191
Poland,2025,March,Million Cubic Meter,2230.158912
Netherlands,2025,March,Million Cubic Meter,2814
Luxembourg,2025,March,Million Cubic Meter,67.655243
Italy,2025,March,Million Cubic Meter,6048.078815
Hungary,2025,March,Million Cubic Meter,1056.30458
Greece,2025,March,Million Cubic Meter,487.865286
Germany,2025,March,Million Cubic Meter,8494
France,2025,March,Million Cubic Meter,3479
Finland,2025,March,Million Cubic Meter,165.8955
Denmark,2025,March,Million Cubic Meter,201.974
Czech Republic,2025,March,Million Cubic Meter,833.803841
Croatia,2025,March,Million Cubic Meter,242.849818
Bulgaria,2025,March,Million Cubic Meter,293.718394
Belgium,2025,March,Million Cubic Meter,1270.581422
Austria,2025,March,Million Cubic Meter,799.857114
United Kingdom,2025,April,Million Cubic Meter,3999.603288
Sweden,2025,April,Million Cubic Meter,56.334
Spain,2025,April,Million Cubic Meter,2111
Slovenia,2025,April,Million Cubic Meter,69.824571
Slovakia,2025,April,Million Cubic Meter,368.589619
Serbia,2025,April,Million Cubic Meter,204
Romania,2025,April,Million Cubic Meter,654.665922
Portugal,2025,April,Million Cubic Meter,284.190475
Poland,2025,April,Million Cubic Meter,1752.249177
Netherlands,2025,April,Million Cubic Meter,2058
Luxembourg,2025,April,Million Cubic Meter,50.909453
Italy,2025,April,Million Cubic Meter,3993.213457
Hungary,2025,April,Million Cubic Meter,689.756952
Greece,2025,April,Million Cubic Meter,368.39522
Germany,2025,April,Million Cubic Meter,5769
France,2025,April,Million Cubic Meter,2014
Finland,2025,April,Million Cubic Meter,138.553
