Stream Name,BSP link,Avg. shape_for_crude list
Varandey,https://www.energyintel.com/wcod/crude-profile/Varandey,1
Urals,https://www.energyintel.com/wcod/crude-profile/Urals,1
Sokol,https://www.energyintel.com/wcod/crude-profile/Sokol,1
Siberian Light,https://www.energyintel.com/wcod/crude-profile/Siberian-Light,1
Sakhalin Blend,https://www.energyintel.com/wcod/crude-profile/Sakhalin-Blend,1
Other Crudes - Russia,,1
Novy Port,https://www.energyintel.com/0000018e-d6c4-d183-abef-dfc751880003,1
Espo Blend,https://www.energyintel.com/wcod/crude-profile/Espo-Blend,1
Cpc Blend - Russia,,1
Arco,https://www.energyintel.com/0000018e-d66a-d183-abef-df6bdde80003,1
