Country,Measure Names,month_year,Latitude (generated),Longitude (generated),Value
United States,No Measure Value,2000-01,40.0792,-98.8164,5784
United Kingdom,No Measure Value,2000-01,52.289,-1.259,2669.944473
Sudan,No Measure Value,2000-01,15.739,29.533,165
Saudi Arabia,No Measure Value,2000-01,24.191,44.32,7550
Papua New Guinea,No Measure Value,2000-01,-5.636,142.798,64
Oman,No Measure Value,2000-01,19.85,56.25,939
Norway,No Measure Value,2000-01,61.3701,9.3031,3130
Nigeria,No Measure Value,2000-01,9.3417,7.678,1990
Mexico,No Measure Value,2000-01,22.925,-101.68,3031.52179
Kuwait,No Measure Value,2000-01,29.3169,47.4272,1650
Iraq,No Measure Value,2000-01,33.545,43.278,2210
Iran,No Measure Value,2000-01,33.408,54.0418,3430
Indonesia,No Measure Value,2000-01,-0.739,114.045,1247
Egypt,No Measure Value,2000-01,26.16,28.742,721.993548
Colombia,No Measure Value,2000-01,3.794,-73.606,755.68995
Brazil,No Measure Value,2000-01,-11.694,-48.978,1154.645452
Argentina,No Measure Value,2000-01,-33.166,-64.31,762.655725
Algeria,No Measure Value,2000-01,28.6045,2.64,760
United States,No Measure Value,2000-02,40.0792,-98.8164,5852
United Kingdom,No Measure Value,2000-02,52.289,-1.259,2585.010794
Sudan,No Measure Value,2000-02,15.739,29.533,165
Saudi Arabia,No Measure Value,2000-02,24.191,44.32,7550
Papua New Guinea,No Measure Value,2000-02,-5.636,142.798,64
Oman,No Measure Value,2000-02,19.85,56.25,909
Norway,No Measure Value,2000-02,61.3701,9.3031,3235
Nigeria,No Measure Value,2000-02,9.3417,7.678,2100
Mexico,No Measure Value,2000-02,22.925,-101.68,2897.158325
Kuwait,No Measure Value,2000-02,29.3169,47.4272,1700
Iraq,No Measure Value,2000-02,33.545,43.278,2640
Iran,No Measure Value,2000-02,33.408,54.0418,3540
Indonesia,No Measure Value,2000-02,-0.739,114.045,1247
Egypt,No Measure Value,2000-02,26.16,28.742,715.607302
Colombia,No Measure Value,2000-02,3.794,-73.606,710.804
Brazil,No Measure Value,2000-02,-11.694,-48.978,1120.737793
Argentina,No Measure Value,2000-02,-33.166,-64.31,750.155285
Algeria,No Measure Value,2000-02,28.6045,2.64,760
United States,No Measure Value,2000-03,40.0792,-98.8164,5918
United Kingdom,No Measure Value,2000-03,52.289,-1.259,2599.150949
Sudan,No Measure Value,2000-03,15.739,29.533,165
Saudi Arabia,No Measure Value,2000-03,24.191,44.32,7600
Papua New Guinea,No Measure Value,2000-03,-5.636,142.798,64
Oman,No Measure Value,2000-03,19.85,56.25,907
Norway,No Measure Value,2000-03,61.3701,9.3031,3167
Nigeria,No Measure Value,2000-03,9.3417,7.678,2120
Mexico,No Measure Value,2000-03,22.925,-101.68,2997.948578
Kuwait,No Measure Value,2000-03,29.3169,47.4272,1750
Iraq,No Measure Value,2000-03,33.545,43.278,2210
Iran,No Measure Value,2000-03,33.408,54.0418,3600
Indonesia,No Measure Value,2000-03,-0.739,114.045,1247
Egypt,No Measure Value,2000-03,26.16,28.742,712.255598
Colombia,No Measure Value,2000-03,3.794,-73.606,731.536
Brazil,No Measure Value,2000-03,-11.694,-48.978,1189.282097
Argentina,No Measure Value,2000-03,-33.166,-64.31,735.349554
Algeria,No Measure Value,2000-03,28.6045,2.64,760
United States,No Measure Value,2000-04,40.0792,-98.8164,5854
United Kingdom,No Measure Value,2000-04,52.289,-1.259,2471.256994
Sudan,No Measure Value,2000-04,15.739,29.533,178
Saudi Arabia,No Measure Value,2000-04,24.191,44.32,7800
Papua New Guinea,No Measure Value,2000-04,-5.636,142.798,64
Oman,No Measure Value,2000-04,19.85,56.25,933
Norway,No Measure Value,2000-04,61.3701,9.3031,2947
Nigeria,No Measure Value,2000-04,9.3417,7.678,2200
Mexico,No Measure Value,2000-04,22.925,-101.68,3040.723633
Kuwait,No Measure Value,2000-04,29.3169,47.4272,1800
Iraq,No Measure Value,2000-04,33.545,43.278,2680
Iran,No Measure Value,2000-04,33.408,54.0418,3650
Indonesia,No Measure Value,2000-04,-0.739,114.045,1247
Egypt,No Measure Value,2000-04,26.16,28.742,714.44098
Colombia,No Measure Value,2000-04,3.794,-73.606,706.141
Brazil,No Measure Value,2000-04,-11.694,-48.978,1161.2472
Argentina,No Measure Value,2000-04,-33.166,-64.31,759.11895
Algeria,No Measure Value,2000-04,28.6045,2.64,780
United States,No Measure Value,2000-05,40.0792,-98.8164,5847
United Kingdom,No Measure Value,2000-05,52.289,-1.259,2215.231861
Sudan,No Measure Value,2000-05,15.739,29.533,178
Saudi Arabia,No Measure Value,2000-05,24.191,44.32,8080
Papua New Guinea,No Measure Value,2000-05,-5.636,142.798,64
Oman,No Measure Value,2000-05,19.85,56.25,944
Norway,No Measure Value,2000-05,61.3701,9.3031,3047
Nigeria,No Measure Value,2000-05,9.3417,7.678,2150
Mexico,No Measure Value,2000-05,22.925,-101.68,3039.693848
Kuwait,No Measure Value,2000-05,29.3169,47.4272,1780
Iraq,No Measure Value,2000-05,33.545,43.278,3080
Iran,No Measure Value,2000-05,33.408,54.0418,3650
Indonesia,No Measure Value,2000-05,-0.739,114.045,1247
Egypt,No Measure Value,2000-05,26.16,28.742,706.368501
Colombia,No Measure Value,2000-05,3.794,-73.606,699.401
Brazil,No Measure Value,2000-05,-11.694,-48.978,1159.187258
Argentina,No Measure Value,2000-05,-33.166,-64.31,756.474059
Algeria,No Measure Value,2000-05,28.6045,2.64,790
United States,No Measure Value,2000-06,40.0792,-98.8164,5823
United Kingdom,No Measure Value,2000-06,52.289,-1.259,2428.645177
Sudan,No Measure Value,2000-06,15.739,29.533,178
Saudi Arabia,No Measure Value,2000-06,24.191,44.32,8100
Papua New Guinea,No Measure Value,2000-06,-5.636,142.798,64
Oman,No Measure Value,2000-06,19.85,56.25,924
Norway,No Measure Value,2000-06,61.3701,9.3031,2904
Nigeria,No Measure Value,2000-06,9.3417,7.678,2180
Mexico,No Measure Value,2000-06,22.925,-101.68,3055.523376
Kuwait,No Measure Value,2000-06,29.3169,47.4272,1850
Iraq,No Measure Value,2000-06,33.545,43.278,2590
Iran,No Measure Value,2000-06,33.408,54.0418,3700
Indonesia,No Measure Value,2000-06,-0.739,114.045,1247
Egypt,No Measure Value,2000-06,26.16,28.742,700.327647
Colombia,No Measure Value,2000-06,3.794,-73.606,713.365
Brazil,No Measure Value,2000-06,-11.694,-48.978,1208.589633
Argentina,No Measure Value,2000-06,-33.166,-64.31,755.10039
Algeria,No Measure Value,2000-06,28.6045,2.64,800
United States,No Measure Value,2000-07,40.0792,-98.8164,5739
United Kingdom,No Measure Value,2000-07,52.289,-1.259,2420.007414
Sudan,No Measure Value,2000-07,15.739,29.533,179
Saudi Arabia,No Measure Value,2000-07,24.191,44.32,8250
Papua New Guinea,No Measure Value,2000-07,-5.636,142.798,64
Oman,No Measure Value,2000-07,19.85,56.25,971
Norway,No Measure Value,2000-07,61.3701,9.3031,3317
Nigeria,No Measure Value,2000-07,9.3417,7.678,2160
Mexico,No Measure Value,2000-07,22.925,-101.68,2876.106476
Kuwait,No Measure Value,2000-07,29.3169,47.4272,1875
Iraq,No Measure Value,2000-07,33.545,43.278,2560
Iran,No Measure Value,2000-07,33.408,54.0418,3715
Indonesia,No Measure Value,2000-07,-0.739,114.045,1247
Egypt,No Measure Value,2000-07,26.16,28.742,680.396015
Colombia,No Measure Value,2000-07,3.794,-73.606,726.044
Brazil,No Measure Value,2000-07,-11.694,-48.978,1187.189548
Argentina,No Measure Value,2000-07,-33.166,-64.31,740.799106
Algeria,No Measure Value,2000-07,28.6045,2.64,800
United States,No Measure Value,2000-08,40.0792,-98.8164,5789
United Kingdom,No Measure Value,2000-08,52.289,-1.259,2280.945069
Sudan,No Measure Value,2000-08,15.739,29.533,179
Saudi Arabia,No Measure Value,2000-08,24.191,44.32,8400
Papua New Guinea,No Measure Value,2000-08,-5.636,142.798,64
Oman,No Measure Value,2000-08,19.85,56.25,981
Norway,No Measure Value,2000-08,61.3701,9.3031,2993
Nigeria,No Measure Value,2000-08,9.3417,7.678,2200
Mexico,No Measure Value,2000-08,22.925,-101.68,3162.474823
Kuwait,No Measure Value,2000-08,29.3169,47.4272,1845
