In / Out of Sector Set Europe,Year of Date,Sector,Unit,demand bcm
In,2024,Household,Million Cubic Meter,207.409564754
In,2023,Household,Million Cubic Meter,206.398351429
In,2022,Household,Million Cubic Meter,213.393838127
In,2021,Household,Million Cubic Meter,252.905534087
In,2020,Household,Million Cubic Meter,206.364205165
In,2019,Household,Million Cubic Meter,207.645445873
In,2024,Industrial,Million Cubic Meter,110.548762127
In,2023,Industrial,Million Cubic Meter,107.575901425
In,2022,Industrial,Million Cubic Meter,115.087342537
In,2021,Industrial,Million Cubic Meter,148.06492171
In,2020,Industrial,Million Cubic Meter,143.847496214
In,2019,Industrial,Million Cubic Meter,138.794947115
In,2024,Power,Million Cubic Meter,75.638233954
In,2023,Power,Million Cubic Meter,82.267928335
In,2022,Power,Million Cubic Meter,101.57292688
In,2021,Power,Million Cubic Meter,97.541540839
In,2020,Power,Million Cubic Meter,91.391960891
In,2019,Power,Million Cubic Meter,94.334513898
