Country,Sector,Year of Date,Month of Date,Unit,Value
Austria,Power,2024,January,Million Cubic Meter,229.958238
Austria,Industrial,2024,January,Million Cubic Meter,302.799126
Austria,Household,2024,January,Million Cubic Meter,542.628005
Austria,Power,2024,February,Million Cubic Meter,117.165571
Austria,Industrial,2024,February,Million Cubic Meter,217.080045
Austria,Household,2024,February,Million Cubic Meter,380.352899
Austria,Power,2024,March,Million Cubic Meter,94.060004
Austria,Industrial,2024,March,Million Cubic Meter,199.959377
Austria,Household,2024,March,Million Cubic Meter,347.755069
Austria,Power,2024,April,Million Cubic Meter,39.21819
Austria,Industrial,2024,April,Million Cubic Meter,175.121944
Austria,Household,2024,April,Million Cubic Meter,283.770101
Austria,Power,2024,May,Million Cubic Meter,2.167905
Austria,Industrial,2024,May,Million Cubic Meter,154.365269
Austria,Household,2024,May,Million Cubic Meter,209.632096
Austria,Power,2024,June,Million Cubic Meter,7.073952
Austria,Industrial,2024,June,Million Cubic Meter,147.661001
Austria,Household,2024,June,Million Cubic Meter,182.403192
Austria,Power,2024,July,Million Cubic Meter,3.246048
Austria,Industrial,2024,July,Million Cubic Meter,142.545872
Austria,Household,2024,July,Million Cubic Meter,170.010016
Austria,Power,2024,August,Million Cubic Meter,15.342238
Austria,Industrial,2024,August,Million Cubic Meter,135.233668
Austria,Household,2024,August,Million Cubic Meter,158.188275
Austria,Power,2024,September,Million Cubic Meter,17.133238
Austria,Industrial,2024,September,Million Cubic Meter,168.918742
Austria,Household,2024,September,Million Cubic Meter,205.350801
Austria,Power,2024,October,Million Cubic Meter,76.09359
Austria,Industrial,2024,October,Million Cubic Meter,210.171386
Austria,Household,2024,October,Million Cubic Meter,278.726996
Austria,Power,2024,November,Million Cubic Meter,282.70219
Austria,Industrial,2024,November,Million Cubic Meter,303.240275
Austria,Household,2024,November,Million Cubic Meter,387.314522
Austria,Power,2024,December,Million Cubic Meter,281.609714
Austria,Industrial,2024,December,Million Cubic Meter,281.768216
Austria,Household,2024,December,Million Cubic Meter,474.16469
Austria,Power,2023,January,Million Cubic Meter,204.831238
Austria,Industrial,2023,January,Million Cubic Meter,278.060902
Austria,Household,2023,January,Million Cubic Meter,678.056399
Austria,Power,2023,February,Million Cubic Meter,204.64
Austria,Industrial,2023,February,Million Cubic Meter,271.905152
Austria,Household,2023,February,Million Cubic Meter,602.885812
Austria,Power,2023,March,Million Cubic Meter,155.801714
Austria,Industrial,2023,March,Million Cubic Meter,241.41999
Austria,Household,2023,March,Million Cubic Meter,511.082137
Austria,Power,2023,April,Million Cubic Meter,122.805714
Austria,Industrial,2023,April,Million Cubic Meter,236.967368
Austria,Household,2023,April,Million Cubic Meter,419.773936
Austria,Power,2023,May,Million Cubic Meter,54.458667
Austria,Industrial,2023,May,Million Cubic Meter,198.433084
Austria,Household,2023,May,Million Cubic Meter,262.157656
