Month of Date,Target Country,flows_bcm
January 2021,United Kingdom,4.858115314
February 2021,United Kingdom,3.801917359
March 2021,United Kingdom,3.576180044
April 2021,United Kingdom,3.424800079
May 2021,United Kingdom,3.113097226
June 2021,United Kingdom,1.935541104
July 2021,United Kingdom,2.845355343
August 2021,United Kingdom,2.691021554
September 2021,United Kingdom,2.802433285
October 2021,United Kingdom,4.106808087
November 2021,United Kingdom,4.528119717
December 2021,United Kingdom,4.97173369
January 2022,United Kingdom,4.169124337
February 2022,United Kingdom,3.985334679
March 2022,United Kingdom,3.715214301
April 2022,United Kingdom,3.447446073
May 2022,United Kingdom,3.501040694
June 2022,United Kingdom,3.394949952
July 2022,United Kingdom,3.811264179
August 2022,United Kingdom,3.404167799
September 2022,United Kingdom,2.633234217
October 2022,United Kingdom,3.796827273
November 2022,United Kingdom,3.678680401
December 2022,United Kingdom,4.496277387
January 2023,United Kingdom,4.243714102
February 2023,United Kingdom,3.514033587
March 2023,United Kingdom,3.928164501
April 2023,United Kingdom,3.143939561
May 2023,United Kingdom,2.262204288
June 2023,United Kingdom,1.954614434
July 2023,United Kingdom,2.971641615
August 2023,United Kingdom,2.745273949
September 2023,United Kingdom,1.725249508
October 2023,United Kingdom,3.271459877
November 2023,United Kingdom,4.134664077
December 2023,United Kingdom,4.713375814
January 2024,United Kingdom,4.559287999
February 2024,United Kingdom,3.823204734
March 2024,United Kingdom,4.135716613
April 2024,United Kingdom,3.452839093
May 2024,United Kingdom,2.867052003
June 2024,United Kingdom,3.228299463
July 2024,United Kingdom,3.808255641
August 2024,United Kingdom,3.370425342
September 2024,United Kingdom,1.933102932
October 2024,United Kingdom,3.710869433
November 2024,United Kingdom,4.307198183
December 2024,United Kingdom,4.170903008
January 2025,United Kingdom,4.736663738
February 2025,United Kingdom,3.68249688
March 2025,United Kingdom,3.767427064
April 2025,United Kingdom,3.108783493
May 2025,United Kingdom,2.547617822
June 2025,United Kingdom,2.353372361
July 2025,United Kingdom,3.245870173
August 2025,United Kingdom,2.913267851
September 2025,United Kingdom,2.901895996
October 2025,United Kingdom,3.506315055
November 2025,United Kingdom,3.948640857
December 2025,United Kingdom,4.348227411
January 2026,United Kingdom,1.053735603
January 2021,Spain,0.610494522
February 2021,Spain,0.67533467
March 2021,Spain,0.740353914
April 2021,Spain,0.597036964
May 2021,Spain,0.759794328
June 2021,Spain,0.734317243
July 2021,Spain,0.699799338
August 2021,Spain,0.631552783
September 2021,Spain,0.747475298
October 2021,Spain,0.689169242
November 2021,Spain,0.773856601
December 2021,Spain,0.787178597
January 2022,Spain,0.915235704
February 2022,Spain,0.839158854
March 2022,Spain,0.920498867
April 2022,Spain,0.860894235
May 2022,Spain,0.665624919
June 2022,Spain,0.699265739
July 2022,Spain,0.816384826
August 2022,Spain,0.869249047
September 2022,Spain,0.758612219
October 2022,Spain,0.743384793
November 2022,Spain,0.608822569
December 2022,Spain,0.914825053
January 2023,Spain,0.813772899
February 2023,Spain,0.70534078
March 2023,Spain,0.609732054
April 2023,Spain,0.66266671
May 2023,Spain,0.747882856
June 2023,Spain,0.47989181
July 2023,Spain,0.821333573
August 2023,Spain,0.7456607
September 2023,Spain,0.759668106
October 2023,Spain,0.924073509
November 2023,Spain,0.887521093
December 2023,Spain,0.875619151
January 2024,Spain,0.855388973
February 2024,Spain,0.782930314
March 2024,Spain,0.818612664
April 2024,Spain,0.801839398
May 2024,Spain,0.837081009
June 2024,Spain,0.823378257
July 2024,Spain,0.822350225
August 2024,Spain,0.837226194
September 2024,Spain,0.64502572
October 2024,Spain,0.948319827
November 2024,Spain,0.94820433
December 2024,Spain,0.931202724
January 2025,Spain,0.963267403
February 2025,Spain,0.875334381
March 2025,Spain,0.905711418
April 2025,Spain,0.744585439
May 2025,Spain,0.775155408
June 2025,Spain,0.630236706
July 2025,Spain,0.888156917
August 2025,Spain,0.868149362
September 2025,Spain,0.698320065
October 2025,Spain,0.957373137
November 2025,Spain,0.920908062
December 2025,Spain,0.856766586
January 2026,Spain,0.247192609
January 2021,Slovakia,2.231133472
February 2021,Slovakia,1.579091385
March 2021,Slovakia,2.287072198
April 2021,Slovakia,2.359680116
May 2021,Slovakia,2.519981419
June 2021,Slovakia,2.439004584
July 2021,Slovakia,2.513878929
August 2021,Slovakia,2.500858895
September 2021,Slovakia,1.988941466
October 2021,Slovakia,2.308597793
November 2021,Slovakia,2.600258708
December 2021,Slovakia,2.641675563
January 2022,Slovakia,1.054107248
February 2022,Slovakia,1.338389481
March 2022,Slovakia,2.520308303
April 2022,Slovakia,1.80172596
May 2022,Slovakia,1.917106554
June 2022,Slovakia,1.106995505
July 2022,Slovakia,1.146404783
August 2022,Slovakia,1.132965897
September 2022,Slovakia,1.103620336
October 2022,Slovakia,1.053751397
November 2022,Slovakia,1.073261699
December 2022,Slovakia,1.262255074
January 2023,Slovakia,0.805683252
February 2023,Slovakia,0.815394867
March 2023,Slovakia,1.113908344
April 2023,Slovakia,1.049468444
May 2023,Slovakia,1.12368992
June 2023,Slovakia,1.097724122
July 2023,Slovakia,1.035283522
August 2023,Slovakia,1.068381098
September 2023,Slovakia,0.993903261
October 2023,Slovakia,1.090360596
November 2023,Slovakia,1.121371973
December 2023,Slovakia,1.354459527
January 2024,Slovakia,1.262209103
February 2024,Slovakia,1.177061165
March 2024,Slovakia,1.2303727
April 2024,Slovakia,1.197910502
May 2024,Slovakia,1.268182854
June 2024,Slovakia,1.283462931
July 2024,Slovakia,1.243553961
August 2024,Slovakia,1.183491601
September 2024,Slovakia,1.131878331
October 2024,Slovakia,1.187178291
November 2024,Slovakia,1.23969
December 2024,Slovakia,1.204375266
January 2021,Romania,0.1539671
February 2021,Romania,0.155115178
March 2021,Romania,0.085067898
June 2021,Romania,0.006635504
January 2022,Romania,0.12389882
February 2022,Romania,0.12058514
March 2022,Romania,0.144339398
January 2021,Poland,0.390938388
February 2021,Poland,0.293048676
March 2021,Poland,0.323189921
April 2021,Poland,0.334521972
May 2021,Poland,0.343581935
June 2021,Poland,0.331804768
July 2021,Poland,0.334996073
August 2021,Poland,0.309054059
September 2021,Poland,0.312872529
October 2021,Poland,0.393038915
November 2021,Poland,0.374178238
December 2021,Poland,0.380914457
January 2022,Poland,0.111909728
February 2022,Poland,0.216918005
March 2022,Poland,0.249128527
April 2022,Poland,0.266394315
November 2022,Poland,0.079107898
December 2022,Poland,0.074160706
November 2023,Poland,0.138782659
December 2023,Poland,0.389824586
January 2024,Poland,0.108520962
February 2024,Poland,0.067150468
March 2024,Poland,0.032310793
April 2024,Poland,0.033638923
May 2024,Poland,0.061156178
June 2024,Poland,0.09416678
July 2024,Poland,0.08697142
August 2024,Poland,0.07473843
September 2024,Poland,0.288460114
October 2024,Poland,0.043888726
November 2024,Poland,0.215135178
December 2024,Poland,0.135545016
January 2021,Netherlands,2.138170624
February 2021,Netherlands,1.480455567
March 2021,Netherlands,1.542369206
April 2021,Netherlands,1.298758213
May 2021,Netherlands,1.18719877
June 2021,Netherlands,1.78496482
July 2021,Netherlands,2.065297818
August 2021,Netherlands,2.349929317
September 2021,Netherlands,2.25080808
October 2021,Netherlands,1.899979843
November 2021,Netherlands,1.434198058
December 2021,Netherlands,1.095391044
January 2022,Netherlands,0.92988814
February 2022,Netherlands,0.843744337
March 2022,Netherlands,1.21383963
April 2022,Netherlands,0.88666016
May 2022,Netherlands,1.608171571
June 2022,Netherlands,1.51115147
July 2022,Netherlands,1.093421465
August 2022,Netherlands,0.946699083
September 2022,Netherlands,1.092308861
October 2022,Netherlands,0.718055692
November 2022,Netherlands,0.633802634
December 2022,Netherlands,0.811168305
January 2023,Netherlands,0.918151444
February 2023,Netherlands,0.716790898
March 2023,Netherlands,0.820580198
April 2023,Netherlands,0.856373884
May 2023,Netherlands,0.885207846
June 2023,Netherlands,0.773342639
July 2023,Netherlands,0.897981402
August 2023,Netherlands,0.959612021
September 2023,Netherlands,0.715340258
October 2023,Netherlands,1.038659891
November 2023,Netherlands,0.861445457
December 2023,Netherlands,0.767185135
January 2024,Netherlands,0.777560502
February 2024,Netherlands,0.715176998
March 2024,Netherlands,0.910684638
April 2024,Netherlands,0.803149934
May 2024,Netherlands,0.946280772
June 2024,Netherlands,1.238712898
July 2024,Netherlands,0.996310931
August 2024,Netherlands,1.037350369
September 2024,Netherlands,0.845274178
October 2024,Netherlands,0.730913782
November 2024,Netherlands,0.671268729
December 2024,Netherlands,0.646698264
January 2025,Netherlands,0.637996417
February 2025,Netherlands,0.5892234
March 2025,Netherlands,0.677855535
April 2025,Netherlands,0.865229473
May 2025,Netherlands,0.888027948
June 2025,Netherlands,0.641719464
July 2025,Netherlands,1.02455343
August 2025,Netherlands,0.581583637
September 2025,Netherlands,0.661114562
October 2025,Netherlands,0.627726805
November 2025,Netherlands,0.501405108
December 2025,Netherlands,0.546376832
January 2026,Netherlands,0.079093951
January 2021,Moldova,0.5870612
February 2021,Moldova,0.578379081
March 2021,Moldova,0.468720971
April 2021,Moldova,0.28622461
May 2021,Moldova,0.187576513
June 2021,Moldova,0.187743611
July 2021,Moldova,0.190383508
August 2021,Moldova,0.19729302
September 2021,Moldova,0.220430364
October 2021,Moldova,0.20859168
November 2021,Moldova,0.358443796
December 2021,Moldova,0.438680372
January 2022,Moldova,0.564507329
February 2022,Moldova,0.485411528
March 2022,Moldova,0.531353605
April 2022,Moldova,0.223908643
May 2022,Moldova,0.159034201
June 2022,Moldova,0.149152721
July 2022,Moldova,0.16644827
August 2022,Moldova,0.16842585
September 2022,Moldova,0.155842395
October 2022,Moldova,0.170239114
November 2022,Moldova,0.1586726
December 2022,Moldova,0.23609986
January 2023,Moldova,0.298482798
February 2023,Moldova,0.233912621
March 2023,Moldova,0.247067828
April 2023,Moldova,0.214812525
May 2023,Moldova,0.162306486
June 2023,Moldova,0.156129216
July 2023,Moldova,0.122025612
August 2023,Moldova,0.161972311
September 2023,Moldova,0.166963602
October 2023,Moldova,0.173203124
November 2023,Moldova,0.278711623
December 2023,Moldova,0.351930882
January 2024,Moldova,0.375022329
February 2024,Moldova,0.300436519
March 2024,Moldova,0.307749452
April 2024,Moldova,0.143060861
