Day of Date,Header_Exporter,Gas Origin,Header_Importer,Target Country,Interconnection Point,flows_bcm
"January 1, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067891143
"January 2, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.064023714
"January 3, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.049904762
"January 4, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.037481333
"January 5, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.038230095
"January 6, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.045103905
"January 7, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.054257524
"January 8, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067104857
"January 9, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.070285048
"January 10, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.070585333
"January 11, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.068460381
"January 12, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.058833143
"January 13, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.053692571
"January 14, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.053994952
"January 15, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.058149714
"January 16, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.064970286
"January 17, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.064557143
"January 18, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.061001238
"January 19, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.058039143
"January 20, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.058786381
"January 21, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.055872476
"January 22, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.053229714
"January 23, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.059942476
"January 24, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.062648095
"January 25, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.061955905
"January 26, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066112
"January 27, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067457905
"January 28, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067939524
"January 29, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067036571
"January 30, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066355619
"January 31, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067381333
"February 1, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067521238
"February 2, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067378762
"February 3, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.06739581
"February 4, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067361905
"February 5, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067178381
"February 6, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067152762
"February 7, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067693143
"February 8, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067348095
"February 9, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066532952
"February 10, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066962857
"February 11, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067549905
"February 12, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.06690981
"February 13, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067121333
"February 14, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066421714
"February 15, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.06715819
"February 16, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067647238
"February 17, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066665238
"February 18, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066703143
"February 19, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067171143
"February 20, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067083714
"February 21, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067032667
"February 22, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067015143
"February 23, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066701524
"February 24, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066736571
"February 25, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066825524
"February 26, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066883524
"February 27, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066361048
"February 28, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.066301714
"March 1, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067738095
"March 2, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067850476
"March 3, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067784286
"March 4, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.06792419
"March 5, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067359238
"March 6, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067864857
"March 7, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.06790219
"March 8, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067875143
"March 9, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.06784419
"March 10, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067752476
"March 11, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067778476
"March 12, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067964667
"March 13, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.068369619
"March 14, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.068022571
"March 15, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067292
"March 16, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.068072286
"March 17, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.068078667
"March 18, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.068263619
"March 19, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.068111238
"March 20, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.068049905
"March 21, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.068076571
"March 22, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.068167429
"March 23, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.068103905
"March 24, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.067500667
"March 25, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.068654571
"March 26, 2021",Exporter,Algeria,Importer,Italy,Entry Mazara,0.069048952
