Project Name,Likely Go-ahead,Country,Comments_link,Source,Copyright,Title,Comments
Abadi Condensates,Uncertain,Indonesia,https://www.energyintel.com/00000189-8c86-d8c4-a7ef-feb673c20000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,Shell said it will sell its 35% stake in Abadi to Indonesia's Pertamina (20%) and Malaysia's Petronas (15%) for $650 million — $325 million in cash with an additional contingent amount of $325 million to be paid if and when Abadi is sanctioned.
Abilene,Uncertain,United States,https://www.energyintel.com/00000186-32a2-da30-a7ff-bbf72c200000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Feb. 2023: Shell's latest Paleogene test — a wildcat called Abilene in Walker Ridge, a couple dozen miles southeast of Sparta — appears to have been unsuccessful.

Shell filed a permit to plug and permanently abandon the well, and multiple sources say it was a dry hole. Shell declined to comment, but a poor result at Abilene would underscore some of the challenges posed by the complex Paleogene play."
Absheron Phase 2,Yes,Azerbaijan,https://www.energyintel.com/00000194-3c9c-d8d2-afdd-7cfe74440000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,Jan. 2025: The focus is on sanctioning a Phase 2 development that would push up overall output toward 5 Bcm/yr and free up more gas that could go to Europe. A final investment decision does not appear imminent.
Abu Khaymah,Uncertain,Iraq,https://www.energyintel.com/wcod/country-profile/iraq,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Iraq's achievement of its upstream goals will also depend on its ability to find outlets for its incremental crude by renovating its poor southern export infrastructure and boosting its aging refining capacity. Additionally, future production plans will also be a function of Opec-plus quota constraints."
Abu Roash “F” Reservoir,Yes,Egypt,https://www.energyintel.com/wcod/crude-profile/western-desert-blend,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"The Western Desert has seen many oil discoveries in recent years, the latest being the 2020 Abu Sennan and South West Maleiha discoveries, adding about 25,000 b/d."
Abu Sennan,Yes,Egypt,https://www.energyintel.com/wcod/crude-profile/western-desert-blend,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"The Western Desert has seen many oil discoveries in recent years, the latest being the 2020 Abu Sennan and South West Maleiha discoveries, adding about 25,000 b/d."
Afoxe,Yes,Angola,https://www.energyintel.com/wcod/crude-profile/olombendo,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Eni could channel Afoxe, like Kalimba a 2018 discovery, to a new hub under consideration for the southern part of Block 15, which holds potential for 400 million-500 million barrels."
Agidigbo,Yes,Angola,https://www.energyintel.com/0000017b-a7d8-de4c-a17b-e7da94d40000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Part of three 2019 discoveries for long-term Africa explorer Eni in its prolific Block 15/06 offshore Angola: Agidigbo (300 million-400 million boe), Agogo (450 million-650 million boe) and Ndungu (250 million boe)."
Agogo Full Field Development,Yes,Angola,https://www.energyintel.com/00000198-604e-d7c8-a3df-6f5ffc770000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Jul. 2025: The $8.2 billion Agogo, expected to take a year to ramp up, boasts several firsts, including the first FPSO deployment of an onboard pilot carbon capture and storage unit."
Akoma-1X,Yes,Ghana,https://www.energyintel.com/00000197-e9a1-dbba-abf7-f9bd74780000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,July 2025: Ghana’s government announced the formal Declaration of Commerciality for the Eban (oil) and Akoma (gas and condensate) finds on Cape Three Points (CTP) Block 4 in the Gulf of Guinea
Al Farabi,Uncertain,Kazakhstan,https://www.energyintel.com/00000189-4465-d60a-a38f-c5f776a20000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,Jul. 2023: The dry hole at Kazakhstan's Zhenis Block is a setback for Lukoil's Caspian plans as well. It remains unclear how the failure at Zhenis would impact Lukoil's other projects offshore Kazakhstan. The Russian major holds 49.99% in the neighboring Al-Farabi block where seismic works were supposed to start this year.
Al Jlaiaa,Uncertain,Kuwait,https://www.energyintel.com/00000194-8921-d57f-a1fe-893bd7650000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,Jan. 2025: Kuwait Oil Co. (KOC) has announced a significant oil and gas discovery at the Al-Jlaiaa field as part of an offshore exploration drilling program that could help the Opec member boost its oil production capacity.
Al Shaheen Expansion,Yes,Qatar,https://www.energyintel.com/0000018d-5f5a-d775-a79f-ffdb09970000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Jan. 2024: QatarEnergy has awarded engineering contracts worth $6 billion for the expansion of its offshore Al-Shaheen field. The next development phase of Al-Shaheen, dubbed Project Ruya (Arabic for vision), will tap 550 million barrels of oil resources over a five-year period, with first oil expected in 2027, the company said."
Al-Dhafra concession,Uncertain,United Arab Emirates,https://www.energyintel.com/00000180-dcbd-df62-ad87-dcbd6dee0000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Another 50 million bbl of light, sweet Murban crude was discovered in May 2022  in the Al-Dhafra concession, which is operated by Al-Dhafra Petroleum."
Al-Faihaa Central Processing Facility Phase 1,Yes,Iraq,https://www.energyintel.com/00000190-ff08-d8c8-a3d5-ffca3e7d0000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Jul. 2024: The oil minister attended a ceremony to mark the completion of the central processing facility at the Faihaa field in Block 9, which will raise its production capacity to 100,000 b/d."
Al-Nokhatha,Yes,Kuwait,https://www.energyintel.com/00000190-b652-daad-a5d9-b756e7c20000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,Jul. 2024:  The giant find could help Kuwait achieve its goal of boosting oil production capacity both for export and for its growing downstream industry while alleviating the need for natural gas imports to meet domestic demand. Kuwait plans to invest about $50 billion — $10 billion annually from 2024 — to raise its production capacity from around 2.9 million barrels per day to 3.2 million b/d by 2028.
Al-Nouf,Yes,United Arab Emirates,https://www.energyintel.com/0000018d-0c02-de4b-a5dd-9f421ef60000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Adnoc awarded Abu Dhabi-listed National Marine Dredging Co. (NMDC) a $137 million contract to build the Al-Nouf artificial island, according to a statement. The latest award to construct an artificial island is part of Adnoc’s stated plan to raise oil pro"
Alto de Cabo Frio Central block,Uncertain,Brazil,https://www.energyintel.com/00000187-b4f3-d9b3-afdf-f6f77b6f0000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"BP is also partnered 50-50 with operator Petrobras on the Alto de Cabo Frio Central Block, which recently completed a promising drill stem test."
Amoca/Mizton/Tecoalli,Yes,Mexico,https://www.energyintel.com/0000018a-8774-dd77-a39b-efff3ece0000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Sep. 2023: Leading this lot is Italy’s Eni, which largely bucked its peers’ deepwater focus. The company picked up the Pemex-relinquished Area 1 in shallow waters and found new resources at the Amoca, Mizton and Tecoalli fields, building out a new development centered around a FPSO unit."
Anchor,Yes,United States,https://www.energyintel.com/00000191-484e-d8c8-a3d5-7cce56390000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Aug. 2024:  Chevron has started production at its Anchor field in the US Gulf of Mexico, becoming the first company to break through the ""20k"" barrier by deploying technology that can safely handle pressures of up to 20,000 pounds per square inch."
Angoche A6-C Block,Uncertain,Mozambique,https://www.energyintel.com/00000190-e53b-dc1c-a1bd-fd7fe48c0000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Jul. 2024: Mozambique has awarded a concession to Eni, in partnership with national oil company Empresa Nacional de Hidrocarbonetos (ENH), to tap the offshore Angoche A6-C block in the country’s northeast."
Anyala-Madu,Yes,Nigeria,https://www.energyintel.com/wcod/crude-profile/anyala-madu,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Output from the Anyala-Madu stream was 44,060 barrels per day in the first two months of 2023, 45,000 b/d in 2022 and 22,000 b/d in 2021. Production started in October 2020 as part of the Anyala-Madu development plan in OML 83 and 85 along the Niger Delta."
Aram,Uncertain,Brazil,https://www.energyintel.com/00000195-f354-db73-a39f-f7ff29060000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,Apr. 2025: Brazil is positioned to be one of the key sources of non-Opec-plus liquids supply growth this decade as new capacity comes on line.
Argerich,Uncertain,Argentina,https://www.energyintel.com/00000190-5af1-de9d-a3d4-5af1ab5b0000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Jun. 2024: A closely watched frontier exploration well offshore Argentina has come up dry, operator Equinor told Energy Intelligence. The Argerich well was considered a potential play opener and a test of the deepwater potential off the country’s eastern coast."
Asab Expansion,Yes,United Arab Emirates,https://www.energyintel.com/00000184-85d8-d0fe-abc5-d5f98a890000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Capacity additions will, in coming years, be achieved at offshore fields including Satah al-Ras Boot (Sarb)/Umm Lulu and Lower Zakum, and at the onshore Bab, Bu Hasa and Asab fields, among others. 
Adnoc board  approved in late 2022 plans to raise capital spending for 2022-26 to $127 billion from $122 billion for 2021-25 as Adnoc progressed — and accelerated — plans to boost oil, gas and downstream developments, and position the company for the energy transition."
"Ashrafi, Dan Ulduzu, Aypara",Yes,Azerbaijan,https://www.energyintel.com/00000192-1f26-dc93-abde-3ff7fe020000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Sep. 2024: BP signed a MOU signaling its intention to expand its presence in Azerbaijan by independently joining agreements on two offshore exploration and development blocks. The first is the Karabagh oil field, which lies near the ACG area. The second i"
Atapu 2,Yes,Brazil,https://www.energyintel.com/0000017f-07e3-df96-a1ff-bfef131a0003,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Mar. 2024: A second Atapu FPSO (P-84) is currently under development, and would add 225,000 b/d of capacity to the stream starting 2028."
Atlanta Field,Yes,Brazil,https://www.energyintel.com/00000187-5316-dcab-af9f-f35eb8ae0000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"In all, six of the eight wells drilled in 2020-22 appear to confirm the presence of working hydrocarbon systems in areas that sit outside the core Santos Basin and inner sections of the Campos Basin that have underpinned Brazil’s pre-salt bonanza."
Atrush Expansion,No,Iraq,https://www.energyintel.com/00000191-2bc3-dd10-af93-3fef3a320000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Aug. 2024: The acquisition gives GEP a majority controlling stake in the field, which produced an estimated 36,000 b/d in 2023. The company already held a 27.6% stake in Atrush — now 75%, while the Kurdistan Regional Government has the remaining 25% through a production-sharing agreement."
Avalon,Uncertain,United Kingdom,https://www.energyintel.com/0000018a-d1d9-db69-a1ae-f7f9d8550000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Ping is working to develop its greenfield standalone Avalon project in the CNS as a subsea tie-back to a floating production, storage and offloading vessel that eventually could be powered by a wind turbine."
Azadegan Expansion,Uncertain,Iran,https://www.energyintel.com/wcod/crude-profile/azadegan,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Raising production from border fields is a priority for NIOC which is aiming, over the next seven years, to triple output from Azadegan, holding 25.34 billion barrels of oil in place in its northern part and 5.6 billion bbl of oil in its southern part. The field was discovered in 1999 and shares the same structure as Iraq's giant Majnoon oil field. In July 2022, a memorandum of understanding was signed between NIOC and Iranian E&P companies and banks to advance the $7 billion project."
Azeri-Central-East (ACE) Platform,Yes,Azerbaijan,https://www.energyintel.com/00000193-8c59-de9f-a1d3-bdf93a0b0000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Dec. 2024:  Socar has overtaken BP to become the biggest shareholder in the country’s ACG oil development and the BTC oil pipeline. The Azeri company took the bulk of Equinor’s equity in the two projects, under a deal that was finalized on Nov. 29, nearly"
Bacalhau Phase 1,Yes,Brazil,https://www.energyintel.com/00000199-ee70-d804-add9-eef6b0120000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Oct. 2025: Equinor has started oil production at the Bacalhau field offshore Brazil, making it the first development in the South American nation's prolific pre-salt play to be brought on line by an international operator."
Bacalhau Phase 2,Uncertain,Brazil,https://www.energyintel.com/00000187-b4f3-d9b3-afdf-f6f77b6f0000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Equinor has begun to contemplate a second phase at Bacalhau, with a key appraisal well planned to kick off this year."
Baja-1,Uncertain,Suriname,https://www.energyintel.com/00000197-b266-dbca-add7-bb6f07ca0000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"June 2025: Total will take over the 25% interest of Moeve, previously known as Cepsa, in Block 53, which is operated by US independent APA with a 45% share. Malaysia's Petronas controls the remaining 30%.

"
Bajo del Choique-La Invernada ,Uncertain,Argentina,https://www.energyintel.com/00000192-e40e-d44c-a7b3-fc2f9b210000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Oct. 2024: In 2019, Exxon took a final investment decision on the Bajo del Choique-La Invernada Block."
Balder X,Yes,Norway,https://www.energyintel.com/00000196-d376-de95-abd7-f7f668de0000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"May 2025: Separately, Var Energi, a partner of Equinor and Petoro in the Johan Sverdrup oil field, has pushed back the start-up date of its Balder X development to 2025 Q2."
Baleine Phase 1,Yes,Cote d'Ivoire,https://www.energyintel.com/00000195-ae13-d775-a9df-febb672b0000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Apr. 2025: Subject to regulatory approval in both countries, Vitol will acquire stakes in two of Eni’s most attractive Africa properties: the deepwater Baleine oil development in Cote d’Ivoire."
Baleine Phase 2,Yes,Cote d'Ivoire,https://www.energyintel.com/00000195-ae13-d775-a9df-febb672b0000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Apr. 2025: Subject to regulatory approval in both countries, Vitol will acquire stakes in two of Eni’s most attractive Africa properties: the deepwater Baleine oil development in Cote d’Ivoire."
Baleine Phase 3,Yes,Cote d'Ivoire,https://www.energyintel.com/00000195-ae13-d775-a9df-febb672b0000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Apr. 2025: Subject to regulatory approval in both countries, Vitol will acquire stakes in two of Eni’s most attractive Africa properties: the deepwater Baleine oil development in Cote d’Ivoire."
Ballymore,Yes,United States,https://www.energyintel.com/00000196-59df-dcde-adfe-ffdf9c360000,Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Click on the link below to go to the relevant article,"Apr. 2025: Ballymore ""brings additional production on line without building a new standalone offshore platform,"" said Brent Gros, Chevron's vice president for the US Gulf. ""This reduces our development costs and is expected to drive higher returns for sha"
