Source,Copyright,Country,Group,Latitude (generated),Longitude (generated)
Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",United Arab Emirates,Opec-Plus,23.9299,53.9031
Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Saudi Arabia,Opec-Plus,24.191,44.32
Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Russia,Opec-Plus,64.736,104.062
Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Oman,Opec-Plus,19.85,56.25
Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Nigeria,Opec-Plus,9.3417,7.678
Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Mexico,Opec-Plus,22.925,-101.68
Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Malaysia,Opec-Plus,4.416,102.099
Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Libya,Opec-Plus,27.24,17.571
Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Kuwait,Opec-Plus,29.3169,47.4272
Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Kazakhstan,Opec-Plus,48.866,69.772
Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Iraq,Opec-Plus,33.545,43.278
Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Iran,Opec-Plus,33.408,54.0418
Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Gabon,Opec-Plus,-0.406,11.914
Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Brunei,Opec-Plus,4.452,114.557
Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Azerbaijan,Opec-Plus,40.46,47.883
Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Algeria,Opec-Plus,28.6045,2.64
Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Vietnam,Non-Opec-Plus,21.75,105.373
Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",United States,Non-Opec-Plus,40.0792,-98.8164
Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",United Kingdom,Non-Opec-Plus,52.289,-1.259
Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Uganda,Non-Opec-Plus,1.9392,32.7415
Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Turkmenistan,Non-Opec-Plus,39.584,59.597
Source: Energy Intelligence,"COPYRIGHT © 2001-2022 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Turkey,Non-Opec-Plus,39.144,34.188
