Country,Year of Period,Latitude (generated),Longitude (generated),value_company
United States,2025,40.0792,-98.8164,
United Arab Emirates,2025,23.9299,53.9031,
Qatar,2025,25.3174,51.1522,
Nigeria,2025,9.3417,7.678,
Kazakhstan,2025,48.866,69.772,65
Indonesia,2025,-0.739,114.045,7.2
Guyana,2025,5.17,-58.939,90
Brazil,2025,-11.694,-48.978,20
Azerbaijan,2025,40.46,47.883,4.4814
Angola,2025,-12.836,17.808,3.8
United States,2026,40.0792,-98.8164,
United Arab Emirates,2026,23.9299,53.9031,
Qatar,2026,25.3174,51.1522,12.5
Nigeria,2026,9.3417,7.678,
Kazakhstan,2026,48.866,69.772,
Indonesia,2026,-0.739,114.045,5.4
Guyana,2026,5.17,-58.939,67.5
Brazil,2026,-11.694,-48.978,68
Azerbaijan,2026,40.46,47.883,0.679
Angola,2026,-12.836,17.808,1.9
United States,2027,40.0792,-98.8164,
United Arab Emirates,2027,23.9299,53.9031,
Qatar,2027,25.3174,51.1522,3.375
Nigeria,2027,9.3417,7.678,
Kazakhstan,2027,48.866,69.772,
Indonesia,2027,-0.739,114.045,
Guyana,2027,5.17,-58.939,135
Brazil,2027,-11.694,-48.978,
Azerbaijan,2027,40.46,47.883,
Angola,2027,-12.836,17.808,
United States,2028,40.0792,-98.8164,
United Arab Emirates,2028,23.9299,53.9031,
Qatar,2028,25.3174,51.1522,
Nigeria,2028,9.3417,7.678,14
Kazakhstan,2028,48.866,69.772,
Indonesia,2028,-0.739,114.045,
Guyana,2028,5.17,-58.939,45
Brazil,2028,-11.694,-48.978,
Azerbaijan,2028,40.46,47.883,
Angola,2028,-12.836,17.808,
United States,2029,40.0792,-98.8164,
United Arab Emirates,2029,23.9299,53.9031,
Qatar,2029,25.3174,51.1522,
Nigeria,2029,9.3417,7.678,8
Kazakhstan,2029,48.866,69.772,
Indonesia,2029,-0.739,114.045,
Guyana,2029,5.17,-58.939,81
Brazil,2029,-11.694,-48.978,
Azerbaijan,2029,40.46,47.883,
Angola,2029,-12.836,17.808,
