Year of Period,Quarter of Period,Country,value_company
2025,Q4,Vietnam,0
2025,Q3,Vietnam,0
2025,Q2,Vietnam,0
2025,Q1,Vietnam,0
2025,Q4,United States,0
2025,Q3,United States,0
2025,Q2,United States,0
2025,Q1,United States,0
2025,Q4,United Kingdom,0
2025,Q3,United Kingdom,0
2025,Q2,United Kingdom,0
2025,Q1,United Kingdom,0
2025,Q4,United Arab Emirates,0
2025,Q3,United Arab Emirates,0
2025,Q2,United Arab Emirates,0
2025,Q1,United Arab Emirates,0
2025,Q4,Uganda,0
2025,Q3,Uganda,0
2025,Q2,Uganda,0
2025,Q1,Uganda,0
2025,Q4,Turkmenistan,0
2025,Q3,Turkmenistan,0
2025,Q2,Turkmenistan,0
2025,Q1,Turkmenistan,0
2025,Q4,Turkey,0
2025,Q3,Turkey,0
2025,Q2,Turkey,0
2025,Q1,Turkey,0
2025,Q4,Trinidad and Tobago,0
2025,Q3,Trinidad and Tobago,0
2025,Q2,Trinidad and Tobago,0
2025,Q1,Trinidad and Tobago,0
2025,Q4,Thailand,0
2025,Q3,Thailand,0
2025,Q2,Thailand,0
2025,Q1,Thailand,0
2025,Q4,Suriname,0
2025,Q3,Suriname,0
2025,Q2,Suriname,0
2025,Q1,Suriname,0
2025,Q4,Senegal,0
2025,Q3,Senegal,0
2025,Q2,Senegal,0
2025,Q1,Senegal,0
2025,Q4,Saudi Arabia,0
2025,Q3,Saudi Arabia,0
2025,Q2,Saudi Arabia,0
2025,Q1,Saudi Arabia,0
2025,Q4,Russia,0
2025,Q3,Russia,0
2025,Q2,Russia,0
2025,Q1,Russia,0
2025,Q4,Qatar,0
2025,Q3,Qatar,0
2025,Q2,Qatar,0
2025,Q1,Qatar,0
2025,Q4,Oman,0
2025,Q3,Oman,0
2025,Q2,Oman,0
2025,Q1,Oman,0
2025,Q4,Norway,0
2025,Q3,Norway,0
2025,Q2,Norway,0
2025,Q1,Norway,0
2025,Q4,Nigeria,0
2025,Q3,Nigeria,0
2025,Q2,Nigeria,0
2025,Q1,Nigeria,0
2025,Q4,Niger,0
2025,Q3,Niger,0
2025,Q2,Niger,0
2025,Q1,Niger,0
2025,Q4,Neutral Zone,0
2025,Q3,Neutral Zone,0
2025,Q2,Neutral Zone,0
2025,Q1,Neutral Zone,0
2025,Q4,Namibia,0
2025,Q3,Namibia,0
2025,Q2,Namibia,0
2025,Q1,Namibia,0
2025,Q4,Mexico,0
2025,Q3,Mexico,0
2025,Q2,Mexico,0
2025,Q1,Mexico,0
2025,Q4,Malaysia,0
2025,Q3,Malaysia,0
2025,Q2,Malaysia,0
2025,Q1,Malaysia,0
2025,Q4,Libya,0
2025,Q3,Libya,0
2025,Q2,Libya,0
2025,Q1,Libya,0
2025,Q4,Kuwait,0
2025,Q3,Kuwait,0
2025,Q2,Kuwait,0
2025,Q1,Kuwait,0
2025,Q4,Kazakhstan,0
2025,Q3,Kazakhstan,0
2025,Q2,Kazakhstan,40
2025,Q1,Kazakhstan,25
2025,Q4,Iraq,0
2025,Q3,Iraq,0
2025,Q2,Iraq,0
2025,Q1,Iraq,0
2025,Q4,Iran,0
2025,Q3,Iran,0
2025,Q2,Iran,0
2025,Q1,Iran,0
2025,Q4,Indonesia,1.8
2025,Q3,Indonesia,1.8
2025,Q2,Indonesia,1.8
2025,Q1,Indonesia,1.8
2025,Q4,India,0
2025,Q3,India,0
2025,Q2,India,0
2025,Q1,India,0
2025,Q4,Guyana,45
2025,Q3,Guyana,45
2025,Q4,Ghana,0
2025,Q3,Ghana,0
2025,Q2,Ghana,0
2025,Q1,Ghana,0
2025,Q4,Gabon,0
2025,Q3,Gabon,0
2025,Q2,Gabon,0
2025,Q1,Gabon,0
2025,Q4,Egypt,0
2025,Q3,Egypt,0
2025,Q2,Egypt,0
2025,Q1,Egypt,0
2025,Q4,Ecuador,0
2025,Q3,Ecuador,0
2025,Q2,Ecuador,0
2025,Q1,Ecuador,0
2025,Q4,Denmark,0
2025,Q3,Denmark,0
2025,Q2,Denmark,0
2025,Q1,Denmark,0
2025,Q4,Cote d'Ivoire,0
2025,Q3,Cote d'Ivoire,0
2025,Q2,Cote d'Ivoire,0
