Project Name,Likely Go-ahead,Field Type,Country,Region,Group,Hydrocarbon,Depth,Field/Block,Play Type,Operator,Partner1,Partner2,Partner3,Partner4,Partner5,First Oil Year,Sanctioned,Project Status,Comments,Gas Reserves (mmboe),Liquids Reserves (mmbbl),Total Reserves (mmboe),API,Sulfur,Measure Names,Measure Values
Thunder Horse South Phase 2,Yes,Offshore,United States,North America,Non-Opec-Plus,Oil/Gas,Deep,Thunder Horse,Deepwater,BP,Exxon Mobil, , , , ,2021,Yes,Onstream, , , , ,Light,Sweet, 2029_Q4,
Thunder Horse South Phase 2,Yes,Offshore,United States,North America,Non-Opec-Plus,Oil/Gas,Deep,Thunder Horse,Deepwater,BP,Exxon Mobil, , , , ,2021,Yes,Onstream, , , , ,Light,Sweet, 2029_Q3,
Thunder Horse South Phase 2,Yes,Offshore,United States,North America,Non-Opec-Plus,Oil/Gas,Deep,Thunder Horse,Deepwater,BP,Exxon Mobil, , , , ,2021,Yes,Onstream, , , , ,Light,Sweet, 2029_Q2,
Thunder Horse South Phase 2,Yes,Offshore,United States,North America,Non-Opec-Plus,Oil/Gas,Deep,Thunder Horse,Deepwater,BP,Exxon Mobil, , , , ,2021,Yes,Onstream, , , , ,Light,Sweet, 2029_Q1,
Thunder Horse South Phase 2,Yes,Offshore,United States,North America,Non-Opec-Plus,Oil/Gas,Deep,Thunder Horse,Deepwater,BP,Exxon Mobil, , , , ,2021,Yes,Onstream, , , , ,Light,Sweet, 2028_Q4,
Thunder Horse South Phase 2,Yes,Offshore,United States,North America,Non-Opec-Plus,Oil/Gas,Deep,Thunder Horse,Deepwater,BP,Exxon Mobil, , , , ,2021,Yes,Onstream, , , , ,Light,Sweet, 2028_Q3,
Thunder Horse South Phase 2,Yes,Offshore,United States,North America,Non-Opec-Plus,Oil/Gas,Deep,Thunder Horse,Deepwater,BP,Exxon Mobil, , , , ,2021,Yes,Onstream, , , , ,Light,Sweet,2028_Q2,
Thunder Horse South Phase 2,Yes,Offshore,United States,North America,Non-Opec-Plus,Oil/Gas,Deep,Thunder Horse,Deepwater,BP,Exxon Mobil, , , , ,2021,Yes,Onstream, , , , ,Light,Sweet,2028_Q1,
Thunder Horse South Phase 2,Yes,Offshore,United States,North America,Non-Opec-Plus,Oil/Gas,Deep,Thunder Horse,Deepwater,BP,Exxon Mobil, , , , ,2021,Yes,Onstream, , , , ,Light,Sweet,2027_Q4,
Thunder Horse South Phase 2,Yes,Offshore,United States,North America,Non-Opec-Plus,Oil/Gas,Deep,Thunder Horse,Deepwater,BP,Exxon Mobil, , , , ,2021,Yes,Onstream, , , , ,Light,Sweet,2027_Q3,
