In / Out of Europe Country Set,Month of Date,Sector,Country,Unit,Value
In,October 2025,Power,*,Million Cubic Meter,2527.950904
In,September 2025,Power,*,Million Cubic Meter,3732.322056
In,August 2025,Power,*,Million Cubic Meter,5379.678865
In,July 2025,Power,*,Million Cubic Meter,5757.770337
In,June 2025,Power,*,Million Cubic Meter,4878.445129
In,May 2025,Power,*,Million Cubic Meter,4554.449368
In,April 2025,Power,*,Million Cubic Meter,5297.021468
In,March 2025,Power,*,Million Cubic Meter,7247.595669
In,February 2025,Power,*,Million Cubic Meter,9024.373743
In,January 2025,Power,*,Million Cubic Meter,9731.093743
In,December 2024,Power,*,Million Cubic Meter,8644.239265
In,November 2024,Power,*,Million Cubic Meter,9193.686468
In,October 2024,Power,*,Million Cubic Meter,6115.140537
In,September 2024,Power,*,Million Cubic Meter,5821.538344
In,August 2024,Power,*,Million Cubic Meter,5956.6171
In,July 2024,Power,*,Million Cubic Meter,6176.461845
In,June 2024,Power,*,Million Cubic Meter,4702.314728
In,May 2024,Power,*,Million Cubic Meter,4422.868795
In,April 2024,Power,*,Million Cubic Meter,4434.133252
In,March 2024,Power,*,Million Cubic Meter,6057.074472
In,February 2024,Power,*,Million Cubic Meter,6187.166233
In,January 2024,Power,*,Million Cubic Meter,8396.081574
In,December 2023,Power,*,Million Cubic Meter,7298.056731
In,November 2023,Power,*,Million Cubic Meter,6669.720739
In,October 2023,Power,*,Million Cubic Meter,6444.844161
In,September 2023,Power,*,Million Cubic Meter,6944.85974
In,August 2023,Power,*,Million Cubic Meter,7108.277468
In,July 2023,Power,*,Million Cubic Meter,7308.261116
In,June 2023,Power,*,Million Cubic Meter,6754.120762
In,May 2023,Power,*,Million Cubic Meter,5637.082431
In,April 2023,Power,*,Million Cubic Meter,6179.837462
In,March 2023,Power,*,Million Cubic Meter,7188.090246
In,February 2023,Power,*,Million Cubic Meter,8067.043242
In,January 2023,Power,*,Million Cubic Meter,7055.339679
In,December 2022,Power,*,Million Cubic Meter,9337.092026
In,November 2022,Power,*,Million Cubic Meter,8077.938462
In,October 2022,Power,*,Million Cubic Meter,8465.778356
In,September 2022,Power,*,Million Cubic Meter,8327.215274
In,August 2022,Power,*,Million Cubic Meter,9229.534246
In,July 2022,Power,*,Million Cubic Meter,9274.491053
In,June 2022,Power,*,Million Cubic Meter,8332.872455
In,May 2022,Power,*,Million Cubic Meter,7485.66659
In,April 2022,Power,*,Million Cubic Meter,6844.570342
In,March 2022,Power,*,Million Cubic Meter,8933.205263
In,February 2022,Power,*,Million Cubic Meter,7309.846746
In,January 2022,Power,*,Million Cubic Meter,10265.642988
In,December 2021,Power,*,Million Cubic Meter,9988.900503
In,November 2021,Power,*,Million Cubic Meter,10377.770121
In,October 2021,Power,*,Million Cubic Meter,7476.763138
In,September 2021,Power,*,Million Cubic Meter,8008.592072
In,August 2021,Power,*,Million Cubic Meter,6445.908339
In,July 2021,Power,*,Million Cubic Meter,7790.137271
In,June 2021,Power,*,Million Cubic Meter,7385.225327
In,May 2021,Power,*,Million Cubic Meter,6169.145779
In,April 2021,Power,*,Million Cubic Meter,8403.088298
In,March 2021,Power,*,Million Cubic Meter,8552.551314
In,February 2021,Power,*,Million Cubic Meter,7668.287427
In,January 2021,Power,*,Million Cubic Meter,9838.45839
In,December 2020,Power,*,Million Cubic Meter,9583.863562
In,November 2020,Power,*,Million Cubic Meter,7630.318323
In,October 2020,Power,*,Million Cubic Meter,7783.142171
In,September 2020,Power,*,Million Cubic Meter,7568.380203
In,August 2020,Power,*,Million Cubic Meter,9586.063094
In,July 2020,Power,*,Million Cubic Meter,8949.224757
In,June 2020,Power,*,Million Cubic Meter,6982.35165
In,May 2020,Power,*,Million Cubic Meter,5345.649963
In,April 2020,Power,*,Million Cubic Meter,4674.609077
In,March 2020,Power,*,Million Cubic Meter,6142.934063
In,February 2020,Power,*,Million Cubic Meter,7652.781949
In,January 2020,Power,*,Million Cubic Meter,10139.572748
In,December 2019,Power,*,Million Cubic Meter,7634.170561
In,November 2019,Power,*,Million Cubic Meter,8825.75283
In,October 2019,Power,*,Million Cubic Meter,8537.872665
In,September 2019,Power,*,Million Cubic Meter,7390.355914
In,August 2019,Power,*,Million Cubic Meter,8674.498675
In,July 2019,Power,*,Million Cubic Meter,9067.808455
In,June 2019,Power,*,Million Cubic Meter,6831.241746
In,May 2019,Power,*,Million Cubic Meter,6569.425978
In,April 2019,Power,*,Million Cubic Meter,6824.338205
In,March 2019,Power,*,Million Cubic Meter,6425.426946
In,February 2019,Power,*,Million Cubic Meter,8841.039278
In,January 2019,Power,*,Million Cubic Meter,9609.535026
In,October 2025,Industrial,*,Million Cubic Meter,1749.127497
In,September 2025,Industrial,*,Million Cubic Meter,4243.394342
In,August 2025,Industrial,*,Million Cubic Meter,6311.358127
